
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type,
Dendrite Area,331.382,331.382,331.382,0,331.382,331.382,1,um^2,Dendrite,,,0,,,1,,1,,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Length,86.0961,86.0961,86.0961,0,86.0961,86.0961,1,um,Dendrite,,,0,,,1,,1,,
Dendrite Mean Diameter,1.20905,1.20905,1.20905,7.08499e-05,1.20905,1.20905,1,um,Dendrite,,,0,,,1,,1,,
Dendrite No. Spines,35,35,35,0,35,35,1,,Dendrite,,,0,,,1,,1,,
Dendrite Orientation Angle,-13.2433,-13.2433,-13.2433,0.00250184,-13.2433,-13.2433,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Position X,102.733,102.733,102.733,0.0127197,102.733,102.733,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Y,110.498,110.498,110.498,0,110.498,110.498,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Z,7.04012,7.04012,7.04012,0.000748614,7.04012,7.04012,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Resistance,89.1814,89.1814,89.1814,0.0150444,89.1814,89.1814,1,1/um,Dendrite,,,0,,,1,,1,,
Dendrite Spine Density,4.06522,4.06522,4.06522,0,4.06522,4.06522,1,1/10um,Dendrite,,,0,,,1,,1,,
Dendrite Straightness,0.961745,0.961745,0.961745,0,0.961745,0.961745,1,,Dendrite,,,0,,,1,,1,,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Volume,103.978,103.978,103.978,0,103.978,103.978,1,um^3,Dendrite,,,0,,,1,,1,,
Filament Area (sum),484.166,484.166,484.166,0,484.166,484.166,1,um^2,Filament,,,,,,,,1,,
Filament BoundingBoxAA Length X,81.6779,81.6779,81.6779,0,81.6779,81.6779,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Y,20.7786,20.7786,20.7786,0,20.7786,20.7786,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Z,5.57301,5.57301,5.57301,0,5.57301,5.57301,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxOO Length A,2.83362,2.83362,2.83362,0.000148648,2.83362,2.83362,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length B,10.4196,10.4196,10.4196,0,10.4196,10.4196,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length C,83.8876,83.8876,83.8876,0,83.8876,83.8876,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament Dendrite Area (sum),331.382,331.382,331.382,0,331.382,331.382,1,um^2,Filament,,,,,,,,1,,
Filament Dendrite Length (sum),86.0961,86.0961,86.0961,0,86.0961,86.0961,1,um,Filament,,,,,,,,1,,
Filament Dendrite Volume (sum),103.978,103.978,103.978,0,103.978,103.978,1,um^3,Filament,,,,,,,,1,,
Filament Distance from Origin,146.922,146.922,146.922,0.0284337,146.922,146.922,1,um,Filament,,Filament Distance from Origin,,,,,,1,,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Length (sum),169.707,169.707,169.707,0.0299559,169.707,169.707,1,um,Filament,,,,,,,,1,,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament No. Dendrite Branches,0,1,0.977273,0.149033,1,86,88,,Filament,,,,0.000,,,,1,,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Edges,1505,1505,1505,0,1505,1505,1,,Filament,,,,,,,,1,,
Filament No. Sholl Intersections,0,1,0.97619,0.152455,1,82,84,,Filament,,,,,,,0.000,1,,
Filament No. Spine Branch Pts,28,28,28,0,28,28,1,,Filament,,,,,,,,1,,
Filament No. Spine Segments,91,91,91,0,91,91,1,,Filament,,,,,,,,1,,
Filament No. Spine Terminal Pts,63,63,63,0,63,63,1,,Filament,,,,,,,,1,,
Filament No. Unconnected Parts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Vertices,1506,1506,1506,0,1506,1506,1,,Filament,,,,,,,,1,,
Filament Position X,93.0806,93.0806,93.0806,0.018574,93.0806,93.0806,1,um,Filament,,Filament Position,,,,,,1,,
Filament Position Y,113.49,113.49,113.49,0.0209378,113.49,113.49,1,um,Filament,,Filament Position,,,,,,1,,
Filament Position Z,6.49296,6.49296,6.49296,4.76456e-05,6.49296,6.49296,1,um,Filament,,Filament Position,,,,,,1,,
Filament Spine Area (sum),152.784,152.784,152.784,0.0293511,152.784,152.784,1,um^2,Filament,,,,,,,,1,,
Filament Spine Length (sum),83.6113,83.6113,83.6113,0,83.6113,83.6113,1,um,Filament,,,,,,,,1,,
Filament Spine Volume (sum),21.6601,21.6601,21.6601,0,21.6601,21.6601,1,um^3,Filament,,,,,,,,1,,
Filament Time,0,0,0,0,0,0,1,s,Filament,,,,,,,,1,,
Filament Time Index,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament Volume (sum),125.638,125.638,125.638,0.0157109,125.638,125.638,1,um^3,Filament,,,,,,,,1,,
Pt Branching Angle Type=Spine Attachment,34.2197,90.6441,72.1359,14.041,74.5472,2380.48,33,°,Point,,,0,,,,,1,Spine Attachment,
Pt Branching Angle Type=Spine Branch,19.2989,100.19,45.5788,26.8606,35.1534,1276.21,28,°,Point,,,0,,,,,1,Spine Branch,
Pt Diameter Type=Dendrite Beginning,1.27072,1.27072,1.27072,0,1.27072,1.27072,1,um,Point,,,0,,,,,1,Dendrite Beginning,
Pt Diameter Type=Spine Attachment,0.831619,1.91083,1.40198,0.230054,1.40652,47.6672,34,um,Point,,,0,,,,,1,Spine Attachment,
Pt Diameter Type=Dendrite Terminal,0.981098,0.981098,0.981098,0,0.981098,0.981098,1,um,Point,,,0,,,,,1,Dendrite Terminal,
Pt Diameter Type=Spine Terminal,0.133415,0.954459,0.48415,0.180761,0.463473,30.5014,63,um,Point,,,0,,,,,1,Spine Terminal,
Pt Diameter Type=Spine Branch,0.133415,1.35938,0.783147,0.280396,0.759802,21.9281,28,um,Point,,,0,,,,,1,Spine Branch,
Pt Distance Type=Dendrite Beginning,0,0,0,0,0,0,1,um,Point,,,0,,,,,1,Dendrite Beginning,
Pt Distance Type=Spine Attachment,0.497253,75.8529,31.0159,20.748,24.4282,1054.54,34,um,Point,,,0,,,,,1,Spine Attachment,
Pt Distance Type=Dendrite Terminal,86.0961,86.0961,86.0961,0,86.0961,86.0961,1,um,Point,,,0,,,,,1,Dendrite Terminal,
Pt Distance Type=Spine Terminal,1.86145,76.6727,28.6864,18.3034,23.7776,1807.24,63,um,Point,,,0,,,,,1,Spine Terminal,
Pt Distance Type=Spine Branch,6.50551,74.3467,22.9751,12.6886,22.3976,643.303,28,um,Point,,,0,,,,,1,Spine Branch,
Pt Distance from Origin Type=Dendrite Beginning,135.847,135.847,135.847,0.0301684,135.847,135.847,1,um,Point,,Pt Distance from Origin,0,,,,,1,Dendrite Beginning,
Pt Distance from Origin Type=Dendrite Terminal,175.608,175.608,175.608,0.0179729,175.608,175.608,1,um,Point,,Pt Distance from Origin,0,,,,,1,Dendrite Terminal,
Pt Distance from Origin Type=Spine Attachment,136.022,167.958,147.123,8.72093,144.363,5002.2,34,um,Point,,Pt Distance from Origin,0,,,,,1,Spine Attachment,
