
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type,
Dendrite Area,264.372,264.372,264.372,0.0256067,264.372,264.372,1,um^2,Dendrite,,,0,,,1,,1,,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Length,79.2564,79.2564,79.2564,0.0150513,79.2564,79.2564,1,um,Dendrite,,,0,,,1,,1,,
Dendrite Mean Diameter,1.05555,1.05555,1.05555,0,1.05555,1.05555,1,um,Dendrite,,,0,,,1,,1,,
Dendrite No. Spines,74,74,74,0,74,74,1,,Dendrite,,,0,,,1,,1,,
Dendrite Orientation Angle,119.896,119.896,119.896,0.0111833,119.896,119.896,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Position X,34.3603,34.3603,34.3603,0.00579217,34.3603,34.3603,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Y,53.2193,53.2193,53.2193,0.00638144,53.2193,53.2193,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Z,6.69037,6.69037,6.69037,0.0013018,6.69037,6.69037,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Resistance,97.9197,97.9197,97.9197,0.0163433,97.9197,97.9197,1,1/um,Dendrite,,,0,,,1,,1,,
Dendrite Spine Density,9.33679,9.33679,9.33679,0.00156906,9.33679,9.33679,1,1/10um,Dendrite,,,0,,,1,,1,,
Dendrite Straightness,0.942116,0.942116,0.942116,8.88858e-05,0.942116,0.942116,1,,Dendrite,,,0,,,1,,1,,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Volume,71.0252,71.0252,71.0252,0.0119006,71.0252,71.0252,1,um^3,Dendrite,,,0,,,1,,1,,
Filament Area (sum),574.679,574.679,574.679,0,574.679,574.679,1,um^2,Filament,,,,,,,,1,,
Filament BoundingBoxAA Length X,38.0316,38.0316,38.0316,0.00624319,38.0316,38.0316,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Y,65.5466,65.5466,65.5466,0,65.5466,65.5466,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
