Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type
Dendrite Area,380.015,380.015,380.015,0,380.015,380.015,1,um^2,Dendrite,,,0,,,1,,1,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Length,88.9545,88.9545,88.9545,0.00407132,88.9545,88.9545,1,um,Dendrite,,,0,,,1,,1,
Dendrite Mean Diameter,1.34774,1.34774,1.34774,0,1.34774,1.34774,1,um,Dendrite,,,0,,,1,,1,
Dendrite No. Spines,40,40,40,0,40,40,1,,Dendrite,,,0,,,1,,1,
Dendrite Orientation Angle,112.918,112.918,112.918,0,112.918,112.918,1,°,Dendrite,,,0,,,1,,1,
Dendrite Position X,73.7234,73.7234,73.7234,0,73.7234,73.7234,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Y,99.2821,99.2821,99.2821,0.00362793,99.2821,99.2821,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Z,6.04965,6.04965,6.04965,0,6.04965,6.04965,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Resistance,68.2951,68.2951,68.2951,0,68.2951,68.2951,1,1/um,Dendrite,,,0,,,1,,1,
Dendrite Spine Density,4.49668,4.49668,4.49668,0.000665134,4.49668,4.49668,1,1/10um,Dendrite,,,0,,,1,,1,
Dendrite Straightness,0.89905,0.89905,0.89905,0,0.89905,0.89905,1,,Dendrite,,,0,,,1,,1,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Volume,130.432,130.432,130.432,0,130.432,130.432,1,um^3,Dendrite,,,0,,,1,,1,
Filament Area (sum),533.46,533.46,533.46,0.0628186,533.46,533.46,1,um^2,Filament,,,,,,,,1,
Filament BoundingBoxAA Length X,32.8345,32.8345,32.8345,0.00532157,32.8345,32.8345,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Y,74.7937,74.7937,74.7937,0,74.7937,74.7937,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Z,4.01264,4.01264,4.01264,0.000650839,4.01264,4.01264,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxOO Length A,2.90168,2.90168,2.90168,0.000663369,2.90168,2.90168,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length B,17.6284,17.6284,17.6284,0.00199744,17.6284,17.6284,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length C,80.9906,80.9906,80.9906,0.0124817,80.9906,80.9906,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament Dendrite Area (sum),380.015,380.015,380.015,0,380.015,380.015,1,um^2,Filament,,,,,,,,1,
Filament Dendrite Length (sum),88.9545,88.9545,88.9545,0.00407132,88.9545,88.9545,1,um,Filament,,,,,,,,1,
Filament Dendrite Volume (sum),130.432,130.432,130.432,0,130.432,130.432,1,um^3,Filament,,,,,,,,1,
Filament Distance from Origin,121.729,121.729,121.729,0.0149204,121.729,121.729,1,um,Filament,,Filament Distance from Origin,,,,,,1,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Length (sum),163.277,163.277,163.277,0.0186096,163.277,163.277,1,um,Filament,,,,,,,,1,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament No. Dendrite Branches,0,1,0.956522,0.203931,1,88,92,,Filament,,,,0,,,,1,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Edges,918,918,918,0,918,918,1,,Filament,,,,,,,,1,
Filament No. Sholl Intersections,0,1,0.975309,0.155183,1,79,81,,Filament,,,,,,,0,1,
Filament No. Spine Branch Pts,21,21,21,0,21,21,1,,Filament,,,,,,,,1,
Filament No. Spine Segments,83,83,83,0,83,83,1,,Filament,,,,,,,,1,
Filament No. Spine Terminal Pts,62,62,62,0,62,62,1,,Filament,,,,,,,,1,
Filament No. Unconnected Parts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Vertices,919,919,919,0,919,919,1,,Filament,,,,,,,,1,
Filament Position X,75.8082,75.8082,75.8082,0,75.8082,75.8082,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Y,95.0585,95.0585,95.0585,0.0164895,95.0585,95.0585,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Z,5.91778,5.91778,5.91778,0.00128257,5.91778,5.91778,1,um,Filament,,Filament Position,,,,,,1,
