Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type
Dendrite Area,222.446,222.446,222.446,0.0153128,222.446,222.446,1,um^2,Dendrite,,,0,,,1,,1,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Length,71.6703,71.6703,71.6703,0.0132956,71.6703,71.6703,1,um,Dendrite,,,0,,,1,,1,
Dendrite Mean Diameter,0.972147,0.972147,0.972147,0.000143017,0.972147,0.972147,1,um,Dendrite,,,0,,,1,,1,
Dendrite No. Spines,40,40,40,0,40,40,1,,Dendrite,,,0,,,1,,1,
Dendrite Orientation Angle,100.415,100.415,100.415,0,100.415,100.415,1,°,Dendrite,,,0,,,1,,1,
Dendrite Position X,116.381,116.381,116.381,0.0185265,116.381,116.381,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Y,86.955,86.955,86.955,0,86.955,86.955,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Z,10.955,10.955,10.955,0.00171285,10.955,10.955,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Resistance,115.952,115.952,115.952,0.0146581,115.952,115.952,1,1/um,Dendrite,,,0,,,1,,1,
Dendrite Spine Density,5.58111,5.58111,5.58111,0.000320603,5.58111,5.58111,1,1/10um,Dendrite,,,0,,,1,,1,
Dendrite Straightness,0.758976,0.758976,0.758976,0.000160545,0.758976,0.758976,1,,Dendrite,,,0,,,1,,1,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Volume,56.1837,56.1837,56.1837,0.00871716,56.1837,56.1837,1,um^3,Dendrite,,,0,,,1,,1,
Filament Area (sum),390.491,390.491,390.491,0,390.491,390.491,1,um^2,Filament,,,,,,,,1,
