
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type,
Dendrite Area,163.396,163.396,163.396,0.0114173,163.396,163.396,1,um^2,Dendrite,,,0,,,1,,1,,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Length,63.3664,63.3664,63.3664,0,63.3664,63.3664,1,um,Dendrite,,,0,,,1,,1,,
Dendrite Mean Diameter,0.803632,0.803632,0.803632,0,0.803632,0.803632,1,um,Dendrite,,,0,,,1,,1,,
Dendrite No. Spines,36,36,36,0,36,36,1,,Dendrite,,,0,,,1,,1,,
Dendrite Orientation Angle,-80.4563,-80.4563,-80.4563,0.00603075,-80.4563,-80.4563,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Position X,96.6335,96.6335,96.6335,0,96.6335,96.6335,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Y,7.04027,7.04027,7.04027,0.00136995,7.04027,7.04027,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Z,22.691,22.691,22.691,0.00541907,22.691,22.691,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Resistance,142.415,142.415,142.415,0,142.415,142.415,1,1/um,Dendrite,,,0,,,1,,1,,
Dendrite Spine Density,5.68124,5.68124,5.68124,0.000625226,5.68124,5.68124,1,1/10um,Dendrite,,,0,,,1,,1,,
Dendrite Straightness,0.781656,0.781656,0.781656,0.000145979,0.781656,0.781656,1,,Dendrite,,,0,,,1,,1,,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Volume,34.3897,34.3897,34.3897,0.00359241,34.3897,34.3897,1,um^3,Dendrite,,,0,,,1,,1,,
Filament Area (sum),266.568,266.568,266.568,0,266.568,266.568,1,um^2,Filament,,,,,,,,1,,
Filament BoundingBoxAA Length X,16.0648,16.0648,16.0648,0.00243357,16.0648,16.0648,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Y,47.2975,47.2975,47.2975,0,47.2975,47.2975,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Z,15.541,15.541,15.541,0.00248825,15.541,15.541,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxOO Length A,4.34894,4.34894,4.34894,0.000673204,4.34894,4.34894,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length B,10.7383,10.7383,10.7383,0.000597825,10.7383,10.7383,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length C,50.6268,50.6268,50.6268,0,50.6268,50.6268,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament Dendrite Area (sum),163.396,163.396,163.396,0.0114173,163.396,163.396,1,um^2,Filament,,,,,,,,1,,
Filament Dendrite Length (sum),63.3664,63.3664,63.3664,0,63.3664,63.3664,1,um,Filament,,,,,,,,1,,
Filament Dendrite Volume (sum),34.3897,34.3897,34.3897,0.00359241,34.3897,34.3897,1,um^3,Filament,,,,,,,,1,,
