Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type
Dendrite Area,136.36,136.36,136.36,0,136.36,136.36,1,um^2,Dendrite,,,0,,,1,,1,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Length,45.8556,45.8556,45.8556,0.00536893,45.8556,45.8556,1,um,Dendrite,,,0,,,1,,1,
Dendrite Mean Diameter,0.932345,0.932345,0.932345,0,0.932345,0.932345,1,um,Dendrite,,,0,,,1,,1,
Dendrite No. Spines,19,19,19,0,19,19,1,,Dendrite,,,0,,,1,,1,
Dendrite Orientation Angle,-56.5217,-56.5217,-56.5217,0,-56.5217,-56.5217,1,°,Dendrite,,,0,,,1,,1,
Dendrite Position X,69.9863,69.9863,69.9863,0,69.9863,69.9863,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Y,37.9788,37.9788,37.9788,0.00275461,37.9788,37.9788,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Z,10.4375,10.4375,10.4375,0,10.4375,10.4375,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Resistance,76.1703,76.1703,76.1703,0,76.1703,76.1703,1,1/um,Dendrite,,,0,,,1,,1,
Dendrite Spine Density,4.14344,4.14344,4.14344,0,4.14344,4.14344,1,1/10um,Dendrite,,,0,,,1,,1,
Dendrite Straightness,0.884319,0.884319,0.884319,0.000148642,0.884319,0.884319,1,,Dendrite,,,0,,,1,,1,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Volume,32.5105,32.5105,32.5105,0,32.5105,32.5105,1,um^3,Dendrite,,,0,,,1,,1,
Filament Area (sum),196.236,196.236,196.236,0,196.236,196.236,1,um^2,Filament,,,,,,,,1,
Filament BoundingBoxAA Length X,24.3468,24.3468,24.3468,0.00395018,24.3468,24.3468,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Y,34.5747,34.5747,34.5747,0,34.5747,34.5747,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Z,3.39801,3.39801,3.39801,0.000618119,3.39801,3.39801,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxOO Length A,3.71504,3.71504,3.71504,0.000650646,3.71504,3.71504,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length B,7.53496,7.53496,7.53496,0.000830691,7.53496,7.53496,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length C,41.2547,41.2547,41.2547,0,41.2547,41.2547,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament Dendrite Area (sum),136.36,136.36,136.36,0,136.36,136.36,1,um^2,Filament,,,,,,,,1,
Filament Dendrite Length (sum),45.8556,45.8556,45.8556,0.00536893,45.8556,45.8556,1,um,Filament,,,,,,,,1,
Filament Dendrite Volume (sum),32.5105,32.5105,32.5105,0,32.5105,32.5105,1,um^3,Filament,,,,,,,,1,
Filament Distance from Origin,79.964,79.964,79.964,0,79.964,79.964,1,um,Filament,,Filament Distance from Origin,,,,,,1,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Length (sum),69.1739,69.1739,69.1739,0.0151564,69.1739,69.1739,1,um,Filament,,,,,,,,1,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament No. Dendrite Branches,0,1,0.957447,0.201848,1,45,47,,Filament,,,,0,,,,1,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Edges,594,594,594,0,594,594,1,,Filament,,,,,,,,1,
Filament No. Sholl Intersections,0,1,0.952381,0.212959,1,40,42,,Filament,,,,,,,0,1,
Filament No. Spine Branch Pts,4,4,4,0,4,4,1,,Filament,,,,,,,,1,
Filament No. Spine Segments,27,27,27,0,27,27,1,,Filament,,,,,,,,1,
Filament No. Spine Terminal Pts,23,23,23,0,23,23,1,,Filament,,,,,,,,1,
Filament No. Unconnected Parts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Vertices,595,595,595,0,595,595,1,,Filament,,,,,,,,1,
Filament Position X,69.1947,69.1947,69.1947,0,69.1947,69.1947,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Y,38.6975,38.6975,38.6975,0,38.6975,38.6975,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Z,10.4324,10.4324,10.4324,0.00178884,10.4324,10.4324,1,um,Filament,,Filament Position,,,,,,1,
