Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type
Dendrite Area,136.125,136.125,136.125,0.0305082,136.125,136.125,1,um^2,Dendrite,,,0,,,1,,1,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Length,63.7108,63.7108,63.7108,0.0106075,63.7108,63.7108,1,um,Dendrite,,,0,,,1,,1,
Dendrite Mean Diameter,0.675691,0.675691,0.675691,0.000118927,0.675691,0.675691,1,um,Dendrite,,,0,,,1,,1,
Dendrite No. Spines,21,21,21,0,21,21,1,,Dendrite,,,0,,,1,,1,
Dendrite Orientation Angle,175.91,175.91,175.91,0.0137004,175.91,175.91,1,°,Dendrite,,,0,,,1,,1,
Dendrite Position X,26.1531,26.1531,26.1531,0,26.1531,26.1531,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Y,81.063,81.063,81.063,0,81.063,81.063,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Z,9.83911,9.83911,9.83911,0.00087015,9.83911,9.83911,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Resistance,201.316,201.316,201.316,0.0390344,201.316,201.316,1,1/um,Dendrite,,,0,,,1,,1,
Dendrite Spine Density,3.29614,3.29614,3.29614,0.0004336,3.29614,3.29614,1,1/10um,Dendrite,,,0,,,1,,1,
Dendrite Straightness,0.916047,0.916047,0.916047,0,0.916047,0.916047,1,,Dendrite,,,0,,,1,,1,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Volume,23.7741,23.7741,23.7741,0,23.7741,23.7741,1,um^3,Dendrite,,,0,,,1,,1,
Filament Area (sum),268.497,268.497,268.497,0.00740087,268.497,268.497,1,um^2,Filament,,,,,,,,1,
Filament BoundingBoxAA Length X,62.7293,62.7293,62.7293,0.00570233,62.7293,62.7293,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Y,13.2503,13.2503,13.2503,0,13.2503,13.2503,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Z,13.5454,13.5454,13.5454,0,13.5454,13.5454,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxOO Length A,5.80261,5.80261,5.80261,0.000935817,5.80261,5.80261,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length B,10.5625,10.5625,10.5625,0,10.5625,10.5625,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length C,63.2676,63.2676,63.2676,0,63.2676,63.2676,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament Dendrite Area (sum),136.125,136.125,136.125,0.0305082,136.125,136.125,1,um^2,Filament,,,,,,,,1,
Filament Dendrite Length (sum),63.7108,63.7108,63.7108,0.0106075,63.7108,63.7108,1,um,Filament,,,,,,,,1,
Filament Dendrite Volume (sum),23.7741,23.7741,23.7741,0,23.7741,23.7741,1,um^3,Filament,,,,,,,,1,
Filament Distance from Origin,85.496,85.496,85.496,0,85.496,85.496,1,um,Filament,,Filament Distance from Origin,,,,,,1,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Length (sum),115.503,115.503,115.503,0.0211633,115.503,115.503,1,um,Filament,,,,,,,,1,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament No. Dendrite Branches,0,1,0.940298,0.236933,1,63,67,,Filament,,,,0,,,,1,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Edges,689,689,689,0,689,689,1,,Filament,,,,,,,,1,
Filament No. Sholl Intersections,0,1,0.966667,0.179505,1,58,60,,Filament,,,,,,,0,1,
Filament No. Spine Branch Pts,8,8,8,0,8,8,1,,Filament,,,,,,,,1,
Filament No. Spine Segments,37,37,37,0,37,37,1,,Filament,,,,,,,,1,
Filament No. Spine Terminal Pts,29,29,29,0,29,29,1,,Filament,,,,,,,,1,
Filament No. Unconnected Parts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Vertices,690,690,690,0,690,690,1,,Filament,,,,,,,,1,
Filament Position X,25.3686,25.3686,25.3686,0,25.3686,25.3686,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Y,81.0517,81.0517,81.0517,0,81.0517,81.0517,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Z,9.82966,9.82966,9.82966,0.00158215,9.82966,9.82966,1,um,Filament,,Filament Position,,,,,,1,
Filament Spine Area (sum),132.372,132.372,132.372,0,132.372,132.372,1,um^2,Filament,,,,,,,,1,
Filament Spine Length (sum),51.7923,51.7923,51.7923,0.00922939,51.7923,51.7923,1,um,Filament,,,,,,,,1,
Filament Spine Volume (sum),24.3321,24.3321,24.3321,0,24.3321,24.3321,1,um^3,Filament,,,,,,,,1,
Filament Time,0,0,0,0,0,0,1,s,Filament,,,,,,,,1,
Filament Time Index,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
