
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type,
Dendrite Area,179.399,179.399,179.399,0,179.399,179.399,1,um^2,Dendrite,,,0,,,1,,1,,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Length,55.4559,55.4559,55.4559,0.00913499,55.4559,55.4559,1,um,Dendrite,,,0,,,1,,1,,
Dendrite Mean Diameter,1.00786,1.00786,1.00786,0,1.00786,1.00786,1,um,Dendrite,,,0,,,1,,1,,
Dendrite No. Spines,45,45,45,0,45,45,1,,Dendrite,,,0,,,1,,1,,
Dendrite Orientation Angle,54.3286,54.3286,54.3286,0.0061127,54.3286,54.3286,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Position X,121.578,121.578,121.578,0.0159922,121.578,121.578,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Y,72.4558,72.4558,72.4558,0,72.4558,72.4558,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Z,10.4087,10.4087,10.4087,0,10.4087,10.4087,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Resistance,77.9728,77.9728,77.9728,0,77.9728,77.9728,1,1/um,Dendrite,,,0,,,1,,1,,
Dendrite Spine Density,8.11456,8.11456,8.11456,0,8.11456,8.11456,1,1/10um,Dendrite,,,0,,,1,,1,,
Dendrite Straightness,0.876622,0.876622,0.876622,0,0.876622,0.876622,1,,Dendrite,,,0,,,1,,1,,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Volume,45.7792,45.7792,45.7792,0.00552005,45.7792,45.7792,1,um^3,Dendrite,,,0,,,1,,1,,
Filament Area (sum),385.124,385.124,385.124,0.0483065,385.124,385.124,1,um^2,Filament,,,,,,,,1,,
Filament BoundingBoxAA Length X,31.028,31.028,31.028,0,31.028,31.028,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Y,39.647,39.647,39.647,0.00465225,39.647,39.647,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Z,11.6671,11.6671,11.6671,0,11.6671,11.6671,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxOO Length A,6.57086,6.57086,6.57086,0.000617742,6.57086,6.57086,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length B,11.9304,11.9304,11.9304,0.00225089,11.9304,11.9304,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length C,49.3534,49.3534,49.3534,0,49.3534,49.3534,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament Dendrite Area (sum),179.399,179.399,179.399,0,179.399,179.399,1,um^2,Filament,,,,,,,,1,,
Filament Dendrite Length (sum),55.4559,55.4559,55.4559,0.00913499,55.4559,55.4559,1,um,Filament,,,,,,,,1,,
Filament Dendrite Volume (sum),45.7792,45.7792,45.7792,0.00552005,45.7792,45.7792,1,um^3,Filament,,,,,,,,1,,
Filament Distance from Origin,139.597,139.597,139.597,0.0122436,139.597,139.597,1,um,Filament,,Filament Distance from Origin,,,,,,1,,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Length (sum),139.152,139.152,139.152,0,139.152,139.152,1,um,Filament,,,,,,,,1,,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament No. Dendrite Branches,0,1,0.964912,0.184002,1,55,57,,Filament,,,,0.000,,,,1,,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Edges,1646,1646,1646,0,1646,1646,1,,Filament,,,,,,,,1,,
Filament No. Sholl Intersections,0,1,0.96,0.195959,1,48,50,,Filament,,,,,,,0.000,1,,
Filament No. Spine Branch Pts,28,28,28,0,28,28,1,,Filament,,,,,,,,1,,
Filament No. Spine Segments,101,101,101,0,101,101,1,,Filament,,,,,,,,1,,
Filament No. Spine Terminal Pts,73,73,73,0,73,73,1,,Filament,,,,,,,,1,,
Filament No. Unconnected Parts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Vertices,1647,1647,1647,0,1647,1647,1,,Filament,,,,,,,,1,,
Filament Position X,120.081,120.081,120.081,0.0194167,120.081,120.081,1,um,Filament,,Filament Position,,,,,,1,,
Filament Position Y,70.4751,70.4751,70.4751,0.00810917,70.4751,70.4751,1,um,Filament,,Filament Position,,,,,,1,,
Filament Position Z,10.0504,10.0504,10.0504,0,10.0504,10.0504,1,um,Filament,,Filament Position,,,,,,1,,
Filament Spine Area (sum),205.725,205.725,205.725,0.00672052,205.725,205.725,1,um^2,Filament,,,,,,,,1,,
Filament Spine Length (sum),83.6963,83.6963,83.6963,0.00263769,83.6963,83.6963,1,um,Filament,,,,,,,,1,,
Filament Spine Volume (sum),33.7793,33.7793,33.7793,0.00483065,33.7793,33.7793,1,um^3,Filament,,,,,,,,1,,
Filament Time,0,0,0,0,0,0,1,s,Filament,,,,,,,,1,,
Filament Time Index,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
