Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type
Dendrite Area,147.303,147.303,147.303,0.00927232,147.303,147.303,1,um^2,Dendrite,,,0,,,1,,1,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Length,55.4383,55.4383,55.4383,0,55.4383,55.4383,1,um,Dendrite,,,0,,,1,,1,
Dendrite Mean Diameter,0.835307,0.835307,0.835307,0,0.835307,0.835307,1,um,Dendrite,,,0,,,1,,1,
Dendrite No. Spines,21,21,21,0,21,21,1,,Dendrite,,,0,,,1,,1,
Dendrite Orientation Angle,135.504,135.504,135.504,0.0302314,135.504,135.504,1,°,Dendrite,,,0,,,1,,1,
Dendrite Position X,77.411,77.411,77.411,0.0100798,77.411,77.411,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Y,96.6184,96.6184,96.6184,0,96.6184,96.6184,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Z,10.1511,10.1511,10.1511,0.00119018,10.1511,10.1511,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Resistance,112.457,112.457,112.457,0,112.457,112.457,1,1/um,Dendrite,,,0,,,1,,1,
Dendrite Spine Density,3.78799,3.78799,3.78799,0,3.78799,3.78799,1,1/10um,Dendrite,,,0,,,1,,1,
Dendrite Straightness,0.916073,0.916073,0.916073,0,0.916073,0.916073,1,,Dendrite,,,0,,,1,,1,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Volume,31.5708,31.5708,31.5708,0.00325515,31.5708,31.5708,1,um^3,Dendrite,,,0,,,1,,1,
Filament Area (sum),192.197,192.197,192.197,0.00874636,192.197,192.197,1,um^2,Filament,,,,,,,,1,
Filament BoundingBoxAA Length X,38.5357,38.5357,38.5357,0.00414763,38.5357,38.5357,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Y,37.5906,37.5906,37.5906,0,37.5906,37.5906,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Z,4.40245,4.40245,4.40245,0,4.40245,4.40245,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxOO Length A,2.75083,2.75083,2.75083,0.000175527,2.75083,2.75083,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length B,9.07249,9.07249,9.07249,0.00194885,9.07249,9.07249,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length C,53.3744,53.3744,53.3744,0,53.3744,53.3744,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament Dendrite Area (sum),147.303,147.303,147.303,0.00927232,147.303,147.303,1,um^2,Filament,,,,,,,,1,
Filament Dendrite Length (sum),55.4383,55.4383,55.4383,0,55.4383,55.4383,1,um,Filament,,,,,,,,1,
Filament Dendrite Volume (sum),31.5708,31.5708,31.5708,0.00325515,31.5708,31.5708,1,um^3,Filament,,,,,,,,1,
Filament Distance from Origin,124.407,124.407,124.407,0.00720976,124.407,124.407,1,um,Filament,,Filament Distance from Origin,,,,,,1,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Length (sum),82.0129,82.0129,82.0129,0,82.0129,82.0129,1,um,Filament,,,,,,,,1,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament No. Dendrite Branches,0,1,0.932203,0.251397,1,55,59,,Filament,,,,0,,,,1,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Edges,561,561,561,0,561,561,1,,Filament,,,,,,,,1,
Filament No. Sholl Intersections,0,1,0.961538,0.192308,1,50,52,,Filament,,,,,,,0,1,
