Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type
Dendrite Area,101.488,101.488,101.488,0.013593,101.488,101.488,1,um^2,Dendrite,,,0,,,1,,1,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Length,52.2961,52.2961,52.2961,0.00243823,52.2961,52.2961,1,um,Dendrite,,,0,,,1,,1,
Dendrite Mean Diameter,0.610906,0.610906,0.610906,7.07E-05,0.610906,0.610906,1,um,Dendrite,,,0,,,1,,1,
Dendrite No. Spines,12,12,12,0,12,12,1,,Dendrite,,,0,,,1,,1,
Dendrite Orientation Angle,-145.655,-145.655,-145.655,0.00587602,-145.655,-145.655,1,°,Dendrite,,,0,,,1,,1,
Dendrite Position X,77.2934,77.2934,77.2934,0.00482833,77.2934,77.2934,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Y,83.162,83.162,83.162,0.00905265,83.162,83.162,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Z,14.3077,14.3077,14.3077,0.00185823,14.3077,14.3077,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Resistance,194.638,194.638,194.638,0,194.638,194.638,1,1/um,Dendrite,,,0,,,1,,1,
Dendrite Spine Density,2.29463,2.29463,2.29463,0.000327696,2.29463,2.29463,1,1/10um,Dendrite,,,0,,,1,,1,
Dendrite Straightness,0.940199,0.940199,0.940199,4.44E-05,0.940199,0.940199,1,,Dendrite,,,0,,,1,,1,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Volume,15.8241,15.8241,15.8241,0.00258777,15.8241,15.8241,1,um^3,Dendrite,,,0,,,1,,1,
Filament Area (sum),131.725,131.725,131.725,0,131.725,131.725,1,um^2,Filament,,,,,,,,1,
Filament BoundingBoxAA Length X,41.4884,41.4884,41.4884,0.00774455,41.4884,41.4884,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Y,29.8878,29.8878,29.8878,0,29.8878,29.8878,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Z,4.48764,4.48764,4.48764,0,4.48764,4.48764,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxOO Length A,3.63429,3.63429,3.63429,0.000392446,3.63429,3.63429,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length B,6.4542,6.4542,6.4542,0,6.4542,6.4542,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length C,50.6717,50.6717,50.6717,0.00792426,50.6717,50.6717,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament Dendrite Area (sum),101.488,101.488,101.488,0.013593,101.488,101.488,1,um^2,Filament,,,,,,,,1,
