
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type,
Dendrite Area,263.5,263.5,263.5,0.0524075,263.5,263.5,1,um^2,Dendrite,,,0,,,1,,1,,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Length,71.1375,71.1375,71.1375,0,71.1375,71.1375,1,um,Dendrite,,,0,,,1,,1,,
Dendrite Mean Diameter,1.16859,1.16859,1.16859,0,1.16859,1.16859,1,um,Dendrite,,,0,,,1,,1,,
Dendrite No. Spines,51,51,51,0,51,51,1,,Dendrite,,,0,,,1,,1,,
Dendrite Orientation Angle,-66.0133,-66.0133,-66.0133,0.00616447,-66.0133,-66.0133,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Position X,88.0662,88.0662,88.0662,0.0114055,88.0662,88.0662,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Y,55.4421,55.4421,55.4421,0,55.4421,55.4421,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Z,4.88222,4.88222,4.88222,0.000960597,4.88222,4.88222,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Resistance,78.8051,78.8051,78.8051,0,78.8051,78.8051,1,1/um,Dendrite,,,0,,,1,,1,,
Dendrite Spine Density,7.16921,7.16921,7.16921,0.000972993,7.16921,7.16921,1,1/10um,Dendrite,,,0,,,1,,1,,
Dendrite Straightness,0.952685,0.952685,0.952685,0,0.952685,0.952685,1,,Dendrite,,,0,,,1,,1,,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Volume,79.2267,79.2267,79.2267,0.0123035,79.2267,79.2267,1,um^3,Dendrite,,,0,,,1,,1,,
Filament Area (sum),670.591,670.591,670.591,0,670.591,670.591,1,um^2,Filament,,,,,,,,1,,
Filament BoundingBoxAA Length X,30.7171,30.7171,30.7171,0.00277924,30.7171,30.7171,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Y,66.7322,66.7322,66.7322,0,66.7322,66.7322,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Z,5.29276,5.29276,5.29276,0,5.29276,5.29276,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxOO Length A,5.44307,5.44307,5.44307,0.000748983,5.44307,5.44307,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length B,18.0289,18.0289,18.0289,0.00142455,18.0289,18.0289,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length C,70.2157,70.2157,70.2157,0,70.2157,70.2157,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament Dendrite Area (sum),263.5,263.5,263.5,0.0524075,263.5,263.5,1,um^2,Filament,,,,,,,,1,,
Filament Dendrite Length (sum),71.1375,71.1375,71.1375,0,71.1375,71.1375,1,um,Filament,,,,,,,,1,,
Filament Dendrite Volume (sum),79.2267,79.2267,79.2267,0.0123035,79.2267,79.2267,1,um^3,Filament,,,,,,,,1,,
Filament Distance from Origin,108.963,108.963,108.963,0,108.963,108.963,1,um,Filament,,Filament Distance from Origin,,,,,,1,,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Length (sum),283.834,283.834,283.834,0.0516885,283.834,283.834,1,um,Filament,,,,,,,,1,,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament No. Dendrite Branches,0,1,0.972603,0.163238,1,71,73,,Filament,,,,0.000,,,,1,,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Edges,3103,3103,3103,0,3103,3103,1,,Filament,,,,,,,,1,,
Filament No. Sholl Intersections,0,1,0.971014,0.167766,1,67,69,,Filament,,,,,,,0.000,1,,
Filament No. Spine Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament No. Spine Segments,51,51,51,0,51,51,1,,Filament,,,,,,,,1,,
Filament No. Spine Terminal Pts,51,51,51,0,51,51,1,,Filament,,,,,,,,1,,
