
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type,
Dendrite Area,231.073,231.073,231.073,0,231.073,231.073,1,um^2,Dendrite,,,0,,,1,,1,,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Length,83.3778,83.3778,83.3778,0.0136657,83.3778,83.3778,1,um,Dendrite,,,0,,,1,,1,,
Dendrite Mean Diameter,0.868599,0.868599,0.868599,0,0.868599,0.868599,1,um,Dendrite,,,0,,,1,,1,,
Dendrite No. Spines,26,26,26,0,26,26,1,,Dendrite,,,0,,,1,,1,,
Dendrite Orientation Angle,-159.334,-159.334,-159.334,0.0248362,-159.334,-159.334,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Position X,33.7469,33.7469,33.7469,0.0071918,33.7469,33.7469,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Y,41.657,41.657,41.657,0,41.657,41.657,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Z,19.6333,19.6333,19.6333,0.00298627,19.6333,19.6333,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Resistance,179.682,179.682,179.682,0,179.682,179.682,1,1/um,Dendrite,,,0,,,1,,1,,
Dendrite Spine Density,3.11834,3.11834,3.11834,0.000545218,3.11834,3.11834,1,1/10um,Dendrite,,,0,,,1,,1,,
Dendrite Straightness,0.958712,0.958712,0.958712,0.000165489,0.958712,0.958712,1,,Dendrite,,,0,,,1,,1,,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Volume,53.553,53.553,53.553,0,53.553,53.553,1,um^3,Dendrite,,,0,,,1,,1,,
Filament Area (sum),310.457,310.457,310.457,0.0414471,310.457,310.457,1,um^2,Filament,,,,,,,,1,,
Filament BoundingBoxAA Length X,75.5834,75.5834,75.5834,0,75.5834,75.5834,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Y,29.5148,29.5148,29.5148,0,29.5148,29.5148,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Z,8.71438,8.71438,8.71438,0.00118014,8.71438,8.71438,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxOO Length A,6.43199,6.43199,6.43199,0,6.43199,6.43199,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length B,6.3005,6.3005,6.3005,0.000604302,6.3005,6.3005,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length C,80.9425,80.9425,80.9425,0,80.9425,80.9425,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament Dendrite Area (sum),231.073,231.073,231.073,0,231.073,231.073,1,um^2,Filament,,,,,,,,1,,
Filament Dendrite Length (sum),83.3778,83.3778,83.3778,0.0136657,83.3778,83.3778,1,um,Filament,,,,,,,,1,,
Filament Dendrite Volume (sum),53.553,53.553,53.553,0,53.553,53.553,1,um^3,Filament,,,,,,,,1,,
Filament Distance from Origin,58.7638,58.7638,58.7638,0,58.7638,58.7638,1,um,Filament,,Filament Distance from Origin,,,,,,1,,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Length (sum),113.906,113.906,113.906,0,113.906,113.906,1,um,Filament,,,,,,,,1,,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament No. Dendrite Branches,0,1,0.976471,0.151578,1,83,85,,Filament,,,,0.000,,,,1,,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Edges,721,721,721,0,721,721,1,,Filament,,,,,,,,1,,
Filament No. Sholl Intersections,0,1,0.975309,0.155183,1,79,81,,Filament,,,,,,,0.000,1,,
Filament No. Spine Branch Pts,2,2,2,0,2,2,1,,Filament,,,,,,,,1,,
Filament No. Spine Segments,30,30,30,0,30,30,1,,Filament,,,,,,,,1,,
Filament No. Spine Terminal Pts,28,28,28,0,28,28,1,,Filament,,,,,,,,1,,
Filament No. Unconnected Parts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Vertices,722,722,722,0,722,722,1,,Filament,,,,,,,,1,,
Filament Position X,35.7357,35.7357,35.7357,0.00601049,35.7357,35.7357,1,um,Filament,,Filament Position,,,,,,1,,
Filament Position Y,42.4211,42.4211,42.4211,0.00266326,42.4211,42.4211,1,um,Filament,,Filament Position,,,,,,1,,
Filament Position Z,19.406,19.406,19.406,0,19.406,19.406,1,um,Filament,,Filament Position,,,,,,1,,
Filament Spine Area (sum),79.3834,79.3834,79.3834,0,79.3834,79.3834,1,um^2,Filament,,,,,,,,1,,
Filament Spine Length (sum),30.5287,30.5287,30.5287,0,30.5287,30.5287,1,um,Filament,,,,,,,,1,,
Filament Spine Volume (sum),14.9459,14.9459,14.9459,0.0018273,14.9459,14.9459,1,um^3,Filament,,,,,,,,1,,
Filament Time,0,0,0,0,0,0,1,s,Filament,,,,,,,,1,,
Filament Time Index,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
