Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type
Dendrite Area,113.735,113.735,113.735,0.0196328,113.735,113.735,1,um^2,Dendrite,,,0,,,1,,1,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Length,44.262,44.262,44.262,0.00346572,44.262,44.262,1,um,Dendrite,,,0,,,1,,1,
Dendrite Mean Diameter,0.800567,0.800567,0.800567,0.000121021,0.800567,0.800567,1,um,Dendrite,,,0,,,1,,1,
Dendrite No. Spines,21,21,21,0,21,21,1,,Dendrite,,,0,,,1,,1,
Dendrite Orientation Angle,145.785,145.785,145.785,0,145.785,145.785,1,°,Dendrite,,,0,,,1,,1,
Dendrite Position X,65.2513,65.2513,65.2513,0.011645,65.2513,65.2513,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Y,99.0213,99.0213,99.0213,0.0142376,99.0213,99.0213,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Z,9.91995,9.91995,9.91995,0,9.91995,9.91995,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Resistance,119.744,119.744,119.744,0,119.744,119.744,1,1/um,Dendrite,,,0,,,1,,1,
Dendrite Spine Density,4.74447,4.74447,4.74447,0.000969081,4.74447,4.74447,1,1/10um,Dendrite,,,0,,,1,,1,
Dendrite Straightness,0.956275,0.956275,0.956275,0,0.956275,0.956275,1,,Dendrite,,,0,,,1,,1,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Volume,23.9016,23.9016,23.9016,0,23.9016,23.9016,1,um^3,Dendrite,,,0,,,1,,1,
Filament Area (sum),159.553,159.553,159.553,0,159.553,159.553,1,um^2,Filament,,,,,,,,1,
Filament BoundingBoxAA Length X,35.4726,35.4726,35.4726,0,35.4726,35.4726,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Y,25.2603,25.2603,25.2603,0.00102086,25.2603,25.2603,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Z,5.45648,5.45648,5.45648,0,5.45648,5.45648,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxOO Length A,3.5531,3.5531,3.5531,0.00049137,3.5531,3.5531,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length B,5.14447,5.14447,5.14447,0.000432169,5.14447,5.14447,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length C,42.9644,42.9644,42.9644,0.00559953,42.9644,42.9644,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament Dendrite Area (sum),113.735,113.735,113.735,0.0196328,113.735,113.735,1,um^2,Filament,,,,,,,,1,
Filament Dendrite Length (sum),44.262,44.262,44.262,0.00346572,44.262,44.262,1,um,Filament,,,,,,,,1,
Filament Dendrite Volume (sum),23.9016,23.9016,23.9016,0,23.9016,23.9016,1,um^3,Filament,,,,,,,,1,
Filament Distance from Origin,119.105,119.105,119.105,0,119.105,119.105,1,um,Filament,,Filament Distance from Origin,,,,,,1,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Length (sum),63.1046,63.1046,63.1046,0.00911988,63.1046,63.1046,1,um,Filament,,,,,,,,1,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament No. Dendrite Branches,0,1,0.93617,0.244449,1,44,47,,Filament,,,,0,,,,1,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Edges,832,832,832,0,832,832,1,,Filament,,,,,,,,1,
Filament No. Sholl Intersections,0,1,0.954545,0.208299,1,42,44,,Filament,,,,,,,0,1,
Filament No. Spine Branch Pts,4,4,4,0,4,4,1,,Filament,,,,,,,,1,
Filament No. Spine Segments,29,29,29,0,29,29,1,,Filament,,,,,,,,1,
Filament No. Spine Terminal Pts,25,25,25,0,25,25,1,,Filament,,,,,,,,1,
Filament No. Unconnected Parts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Vertices,833,833,833,0,833,833,1,,Filament,,,,,,,,1,
Filament Position X,64.6826,64.6826,64.6826,0,64.6826,64.6826,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Y,99.5205,99.5205,99.5205,0.0151283,99.5205,99.5205,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Z,9.89375,9.89375,9.89375,0.00186954,9.89375,9.89375,1,um,Filament,,Filament Position,,,,,,1,
Filament Spine Area (sum),45.8174,45.8174,45.8174,0,45.8174,45.8174,1,um^2,Filament,,,,,,,,1,
Filament Spine Length (sum),18.8426,18.8426,18.8426,0.00111028,18.8426,18.8426,1,um,Filament,,,,,,,,1,
Filament Spine Volume (sum),7.25158,7.25158,7.25158,0,7.25158,7.25158,1,um^3,Filament,,,,,,,,1,
Filament Time,0,0,0,0,0,0,1,s,Filament,,,,,,,,1,
Filament Time Index,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament Volume (sum),31.1532,31.1532,31.1532,0.00533779,31.1532,31.1532,1,um^3,Filament,,,,,,,,1,
Pt Branching Angle Type=Spine Attachment,31.5682,89.3197,66.956,16.9743,69.6406,1138.25,17,°,Point,,,0,,,,,1,Spine Attachment
Pt Branching Angle Type=Spine Branch,14.8679,84.1372,49.2104,24.6255,52.5376,196.842,4,°,Point,,,0,,,,,1,Spine Branch
Pt Diameter Type=Dendrite Beginning,1.06324,1.06324,1.06324,0,1.06324,1.06324,1,um,Point,,,0,,,,,1,Dendrite Beginning
Pt Diameter Type=Spine Attachment,0.593256,1.51724,0.921869,0.24904,0.894255,17.5155,19,um,Point,,,0,,,,,1,Spine Attachment
