Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type
Dendrite Area,389.424,389.424,389.424,0,389.424,389.424,1,um^2,Dendrite,,,0,,,1,,1,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Length,105.798,105.798,105.798,0,105.798,105.798,1,um,Dendrite,,,0,,,1,,1,
Dendrite Mean Diameter,1.13524,1.13524,1.13524,0,1.13524,1.13524,1,um,Dendrite,,,0,,,1,,1,
Dendrite No. Spines,87,87,87,0,87,87,1,,Dendrite,,,0,,,1,,1,
Dendrite Orientation Angle,-132.127,-132.127,-132.127,0.0265188,-132.127,-132.127,1,°,Dendrite,,,0,,,1,,1,
Dendrite Position X,65.52,65.52,65.52,0.00935412,65.52,65.52,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Y,98.8285,98.8285,98.8285,0.00908799,98.8285,98.8285,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Z,9.67211,9.67211,9.67211,0.00180398,9.67211,9.67211,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Resistance,135.009,135.009,135.009,0.0116895,135.009,135.009,1,1/um,Dendrite,,,0,,,1,,1,
Dendrite Spine Density,8.22324,8.22324,8.22324,0,8.22324,8.22324,1,1/10um,Dendrite,,,0,,,1,,1,
Dendrite Straightness,0.894797,0.894797,0.894797,0,0.894797,0.894797,1,,Dendrite,,,0,,,1,,1,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Volume,112.848,112.848,112.848,0,112.848,112.848,1,um^3,Dendrite,,,0,,,1,,1,
Filament Area (sum),729.536,729.536,729.536,0,729.536,729.536,1,um^2,Filament,,,,,,,,1,
Filament BoundingBoxAA Length X,65.3576,65.3576,65.3576,0.00817663,65.3576,65.3576,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Y,70.9158,70.9158,70.9158,0,70.9158,70.9158,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Z,11.9169,11.9169,11.9169,0.00240331,11.9169,11.9169,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxOO Length A,4.93829,4.93829,4.93829,0,4.93829,4.93829,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length B,13.2647,13.2647,13.2647,0,13.2647,13.2647,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length C,95.5051,95.5051,95.5051,0,95.5051,95.5051,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament Dendrite Area (sum),389.424,389.424,389.424,0,389.424,389.424,1,um^2,Filament,,,,,,,,1,
Filament Dendrite Length (sum),105.798,105.798,105.798,0,105.798,105.798,1,um,Filament,,,,,,,,1,
Filament Dendrite Volume (sum),112.848,112.848,112.848,0,112.848,112.848,1,um^3,Filament,,,,,,,,1,
Filament Distance from Origin,118.893,118.893,118.893,0,118.893,118.893,1,um,Filament,,Filament Distance from Origin,,,,,,1,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Length (sum),214.863,214.863,214.863,0,214.863,214.863,1,um,Filament,,,,,,,,1,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament No. Dendrite Branches,0,1,0.972222,0.164336,1,105,108,,Filament,,,,0,,,,1,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Edges,3107,3107,3107,0,3107,3107,1,,Filament,,,,,,,,1,
Filament No. Sholl Intersections,0,1,0.979167,0.142826,1,94,96,,Filament,,,,,,,0,1,
Filament No. Spine Branch Pts,36,36,36,0,36,36,1,,Filament,,,,,,,,1,
Filament No. Spine Segments,160,160,160,0,160,160,1,,Filament,,,,,,,,1,
Filament No. Spine Terminal Pts,124,124,124,0,124,124,1,,Filament,,,,,,,,1,
Filament No. Unconnected Parts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Vertices,3108,3108,3108,0,3108,3108,1,,Filament,,,,,,,,1,
Filament Position X,65.6557,65.6557,65.6557,0,65.6557,65.6557,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Y,98.6416,98.6416,98.6416,0.0146616,98.6416,98.6416,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Z,9.72935,9.72935,9.72935,0,9.72935,9.72935,1,um,Filament,,Filament Position,,,,,,1,
Filament Spine Area (sum),340.112,340.112,340.112,0.0182747,340.112,340.112,1,um^2,Filament,,,,,,,,1,
Filament Spine Length (sum),109.066,109.066,109.066,0.0202714,109.066,109.066,1,um,Filament,,,,,,,,1,
Filament Spine Volume (sum),63.9466,63.9466,63.9466,0.00878093,63.9466,63.9466,1,um^3,Filament,,,,,,,,1,
Filament Time,0,0,0,0,0,0,1,s,Filament,,,,,,,,1,
Filament Time Index,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
