Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type
Dendrite Area,288.081,288.081,288.081,0.034969,288.081,288.081,1,um^2,Dendrite,,,0,,,1,,1,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Length,73.1713,73.1713,73.1713,0,73.1713,73.1713,1,um,Dendrite,,,0,,,1,,1,
Dendrite Mean Diameter,1.24308,1.24308,1.24308,0,1.24308,1.24308,1,um,Dendrite,,,0,,,1,,1,
Dendrite No. Spines,34,34,34,0,34,34,1,,Dendrite,,,0,,,1,,1,
Dendrite Orientation Angle,-88.0906,-88.0906,-88.0906,0.00955034,-88.0906,-88.0906,1,°,Dendrite,,,0,,,1,,1,
Dendrite Position X,58.7258,58.7258,58.7258,0.00847467,58.7258,58.7258,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Y,9.85945,9.85945,9.85945,0.00145268,9.85945,9.85945,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Z,7.33597,7.33597,7.33597,0.000684373,7.33597,7.33597,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Resistance,72.9478,72.9478,72.9478,0.0119242,72.9478,72.9478,1,1/um,Dendrite,,,0,,,1,,1,
Dendrite Spine Density,4.64663,4.64663,4.64663,0.000840056,4.64663,4.64663,1,1/10um,Dendrite,,,0,,,1,,1,
Dendrite Straightness,0.605556,0.605556,0.605556,4.73E-05,0.605556,0.605556,1,,Dendrite,,,0,,,1,,1,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Volume,93.4296,93.4296,93.4296,0,93.4296,93.4296,1,um^3,Dendrite,,,0,,,1,,1,
Filament Area (sum),623.232,623.232,623.232,0.06763,623.232,623.232,1,um^2,Filament,,,,,,,,1,
Filament BoundingBoxAA Length X,26.7119,26.7119,26.7119,0,26.7119,26.7119,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Y,45.0832,45.0832,45.0832,0.00387627,45.0832,45.0832,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Z,12.4254,12.4254,12.4254,0,12.4254,12.4254,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxOO Length A,7.34188,7.34188,7.34188,0,7.34188,7.34188,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length B,31.7646,31.7646,31.7646,0,31.7646,31.7646,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length C,45.2178,45.2178,45.2178,0.00703085,45.2178,45.2178,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament Dendrite Area (sum),288.081,288.081,288.081,0.034969,288.081,288.081,1,um^2,Filament,,,,,,,,1,
Filament Dendrite Length (sum),73.1713,73.1713,73.1713,0,73.1713,73.1713,1,um,Filament,,,,,,,,1,
Filament Dendrite Volume (sum),93.4296,93.4296,93.4296,0,93.4296,93.4296,1,um^3,Filament,,,,,,,,1,
Filament Distance from Origin,61.0763,61.0763,61.0763,0,61.0763,61.0763,1,um,Filament,,Filament Distance from Origin,,,,,,1,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Length (sum),199.222,199.222,199.222,0.0413214,199.222,199.222,1,um,Filament,,,,,,,,1,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament No. Dendrite Branches,0,1,0.960526,0.194719,1,73,76,,Filament,,,,0,,,,1,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Edges,1728,1728,1728,0,1728,1728,1,,Filament,,,,,,,,1,
Filament No. Sholl Intersections,0,3,1.04348,0.464221,1,48,46,,Filament,,,,,,,0,1,
Filament No. Spine Branch Pts,51,51,51,0,51,51,1,,Filament,,,,,,,,1,
Filament No. Spine Segments,142,142,142,0,142,142,1,,Filament,,,,,,,,1,
