Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type
Dendrite Area,187.526,187.526,187.526,0,187.526,187.526,1,um^2,Dendrite,,,0,,,1,,1,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Length,63.0078,63.0078,63.0078,0,63.0078,63.0078,1,um,Dendrite,,,0,,,1,,1,
Dendrite Mean Diameter,0.934476,0.934476,0.934476,0,0.934476,0.934476,1,um,Dendrite,,,0,,,1,,1,
Dendrite No. Spines,50,50,50,0,50,50,1,,Dendrite,,,0,,,1,,1,
Dendrite Orientation Angle,-83.9858,-83.9858,-83.9858,0.0101349,-83.9858,-83.9858,1,°,Dendrite,,,0,,,1,,1,
Dendrite Position X,70.5431,70.5431,70.5431,0,70.5431,70.5431,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Y,80.1878,80.1878,80.1878,0.011756,80.1878,80.1878,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Z,12.4945,12.4945,12.4945,0.00194398,12.4945,12.4945,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Resistance,102.763,102.763,102.763,0.0164035,102.763,102.763,1,1/um,Dendrite,,,0,,,1,,1,
Dendrite Spine Density,7.93552,7.93552,7.93552,0.000895686,7.93552,7.93552,1,1/10um,Dendrite,,,0,,,1,,1,
Dendrite Straightness,0.923013,0.923013,0.923013,7.36E-05,0.923013,0.923013,1,,Dendrite,,,0,,,1,,1,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Volume,44.6041,44.6041,44.6041,0.00469455,44.6041,44.6041,1,um^3,Dendrite,,,0,,,1,,1,
Filament Area (sum),401.731,401.731,401.731,0,401.731,401.731,1,um^2,Filament,,,,,,,,1,
Filament BoundingBoxAA Length X,12.4802,12.4802,12.4802,0,12.4802,12.4802,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Y,58.9563,58.9563,58.9563,0.00548395,58.9563,58.9563,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Z,6.09219,6.09219,6.09219,0,6.09219,6.09219,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxOO Length A,5.47291,5.47291,5.47291,0.000748682,5.47291,5.47291,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length B,9.34734,9.34734,9.34734,0.00113436,9.34734,9.34734,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length C,59.6501,59.6501,59.6501,0.0108812,59.6501,59.6501,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament Dendrite Area (sum),187.526,187.526,187.526,0,187.526,187.526,1,um^2,Filament,,,,,,,,1,
Filament Dendrite Length (sum),63.0078,63.0078,63.0078,0,63.0078,63.0078,1,um,Filament,,,,,,,,1,
Filament Dendrite Volume (sum),44.6041,44.6041,44.6041,0.00469455,44.6041,44.6041,1,um^3,Filament,,,,,,,,1,
Filament Distance from Origin,109.003,109.003,109.003,0,109.003,109.003,1,um,Filament,,Filament Distance from Origin,,,,,,1,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Length (sum),154.388,154.388,154.388,0,154.388,154.388,1,um,Filament,,,,,,,,1,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament No. Dendrite Branches,0,1,0.969231,0.172692,1,63,65,,Filament,,,,0,,,,1,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Edges,1445,1445,1445,0,1445,1445,1,,Filament,,,,,,,,1,
Filament No. Sholl Intersections,0,1,0.966667,0.179505,1,58,60,,Filament,,,,,,,0,1,
Filament No. Spine Branch Pts,20,20,20,0,20,20,1,,Filament,,,,,,,,1,
Filament No. Spine Segments,91,91,91,0,91,91,1,,Filament,,,,,,,,1,
Filament No. Spine Terminal Pts,71,71,71,0,71,71,1,,Filament,,,,,,,,1,
Filament No. Unconnected Parts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Vertices,1446,1446,1446,0,1446,1446,1,,Filament,,,,,,,,1,
Filament Position X,69.7774,69.7774,69.7774,0.00770818,69.7774,69.7774,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Y,82.8366,82.8366,82.8366,0,82.8366,82.8366,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Z,12.2856,12.2856,12.2856,0.000920844,12.2856,12.2856,1,um,Filament,,Filament Position,,,,,,1,
Filament Spine Area (sum),214.205,214.205,214.205,0,214.205,214.205,1,um^2,Filament,,,,,,,,1,
Filament Spine Length (sum),91.3798,91.3798,91.3798,0.0187319,91.3798,91.3798,1,um,Filament,,,,,,,,1,
Filament Spine Volume (sum),34.3445,34.3445,34.3445,0,34.3445,34.3445,1,um^3,Filament,,,,,,,,1,
Filament Time,0,0,0,0,0,0,1,s,Filament,,,,,,,,1,
Filament Time Index,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament Volume (sum),78.9487,78.9487,78.9487,0.013145,78.9487,78.9487,1,um^3,Filament,,,,,,,,1,
Pt Branching Angle Type=Spine Attachment,13.4581,90.3492,63.7686,17.8741,68.7306,2805.82,44,°,Point,,,0,,,,,1,Spine Attachment
Pt Branching Angle Type=Spine Branch,15.3241,94.3936,53.03,22.0719,52.5764,1007.57,19,°,Point,,,0,,,,,1,Spine Branch
Pt Diameter Type=Dendrite Beginning,0.725461,0.725461,0.725461,0.000119089,0.725461,0.725461,1,um,Point,,,0,,,,,1,Dendrite Beginning
Pt Diameter Type=Spine Attachment,0.635242,1.29471,0.963476,0.168004,0.955965,45.2834,47,um,Point,,,0,,,,,1,Spine Attachment
Pt Diameter Type=Dendrite Terminal,0.734191,0.734191,0.734191,8.50E-05,0.734191,0.734191,1,um,Point,,,0,,,,,1,Dendrite Terminal
Pt Diameter Type=Spine Terminal,0.360989,1.15686,0.680479,0.160652,0.671652,48.314,71,um,Point,,,0,,,,,1,Spine Terminal
Pt Diameter Type=Spine Branch,0.528173,1.34284,0.974048,0.237121,1.03308,19.481,20,um,Point,,,0,,,,,1,Spine Branch
Pt Distance Type=Dendrite Beginning,0,0,0,0,0,0,1,um,Point,,,0,,,,,1,Dendrite Beginning
Pt Distance Type=Spine Attachment,0.32473,58.8266,25.5566,16.4829,23.7676,1201.16,47,um,Point,,,0,,,,,1,Spine Attachment
Pt Distance Type=Dendrite Terminal,63.0078,63.0078,63.0078,0,63.0078,63.0078,1,um,Point,,,0,,,,,1,Dendrite Terminal
Pt Distance Type=Spine Terminal,0.95364,60.7276,29.0642,16.4524,31.3343,2063.56,71,um,Point,,,0,,,,,1,Spine Terminal
Pt Distance Type=Spine Branch,4.82641,60.1582,33.0348,16.3234,34.4317,660.696,20,um,Point,,,0,,,,,1,Spine Branch
