
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type,
Dendrite Area,244.252,244.252,244.252,0.0213004,244.252,244.252,1,um^2,Dendrite,,,0,,,1,,1,,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Length,94.5674,94.5674,94.5674,0.0172815,94.5674,94.5674,1,um,Dendrite,,,0,,,1,,1,,
Dendrite Mean Diameter,0.815706,0.815706,0.815706,5.71961e-05,0.815706,0.815706,1,um,Dendrite,,,0,,,1,,1,,
Dendrite No. Spines,54,54,54,0,54,54,1,,Dendrite,,,0,,,1,,1,,
Dendrite Orientation Angle,-153.441,-153.441,-153.441,0.00696468,-153.441,-153.441,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Position X,49.1203,49.1203,49.1203,0.00301,49.1203,49.1203,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Y,65.9603,65.9603,65.9603,0,65.9603,65.9603,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Z,7.92984,7.92984,7.92984,0,7.92984,7.92984,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Resistance,194.612,194.612,194.612,0.0236915,194.612,194.612,1,1/um,Dendrite,,,0,,,1,,1,,
Dendrite Spine Density,5.71022,5.71022,5.71022,0,5.71022,5.71022,1,1/10um,Dendrite,,,0,,,1,,1,,
Dendrite Straightness,0.91539,0.91539,0.91539,8.11461e-05,0.91539,0.91539,1,,Dendrite,,,0,,,1,,1,,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Volume,50.8497,50.8497,50.8497,0.00639286,50.8497,50.8497,1,um^3,Dendrite,,,0,,,1,,1,,
Filament Area (sum),333.606,333.606,333.606,0,333.606,333.606,1,um^2,Filament,,,,,,,,1,,
Filament BoundingBoxAA Length X,77.7323,77.7323,77.7323,0.00668911,77.7323,77.7323,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Y,40.0685,40.0685,40.0685,0,40.0685,40.0685,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Z,10.0575,10.0575,10.0575,0.00125173,10.0575,10.0575,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxOO Length A,4.21431,4.21431,4.21431,0.000961235,4.21431,4.21431,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length B,13.9865,13.9865,13.9865,0.00271956,13.9865,13.9865,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length C,87.0131,87.0131,87.0131,0.0145144,87.0131,87.0131,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament Dendrite Area (sum),244.252,244.252,244.252,0.0213004,244.252,244.252,1,um^2,Filament,,,,,,,,1,,
Filament Dendrite Length (sum),94.5674,94.5674,94.5674,0.0172815,94.5674,94.5674,1,um,Filament,,,,,,,,1,,
Filament Dendrite Volume (sum),50.8497,50.8497,50.8497,0.00639286,50.8497,50.8497,1,um^3,Filament,,,,,,,,1,,
Filament Distance from Origin,78.4366,78.4366,78.4366,0.0145244,78.4366,78.4366,1,um,Filament,,Filament Distance from Origin,,,,,,1,,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Length (sum),147.789,147.789,147.789,0,147.789,147.789,1,um,Filament,,,,,,,,1,,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament No. Dendrite Branches,0,1,0.979167,0.142826,1,94,96,,Filament,,,,0.000,,,,1,,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Edges,666,666,666,0,666,666,1,,Filament,,,,,,,,1,,
Filament No. Sholl Intersections,0,1,0.977273,0.149033,1,86,88,,Filament,,,,,,,0.000,1,,
Filament No. Spine Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament No. Spine Segments,54,54,54,0,54,54,1,,Filament,,,,,,,,1,,
Filament No. Spine Terminal Pts,54,54,54,0,54,54,1,,Filament,,,,,,,,1,,
Filament No. Unconnected Parts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Vertices,667,667,667,0,667,667,1,,Filament,,,,,,,,1,,
