Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type
Dendrite Area,240.137,240.137,240.137,0,240.137,240.137,1,um^2,Dendrite,,,0,,,1,,1,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Length,89.876,89.876,89.876,0.011344,89.876,89.876,1,um,Dendrite,,,0,,,1,,1,
Dendrite Mean Diameter,0.839413,0.839413,0.839413,0,0.839413,0.839413,1,um,Dendrite,,,0,,,1,,1,
Dendrite No. Spines,80,80,80,0,80,80,1,,Dendrite,,,0,,,1,,1,
Dendrite Orientation Angle,-149.271,-149.271,-149.271,0.0220595,-149.271,-149.271,1,°,Dendrite,,,0,,,1,,1,
Dendrite Position X,106.142,106.142,106.142,0.011103,106.142,106.142,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Y,82.9622,82.9622,82.9622,0,82.9622,82.9622,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Z,11.4957,11.4957,11.4957,0.000991051,11.4957,11.4957,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Resistance,183.504,183.504,183.504,0,183.504,183.504,1,1/um,Dendrite,,,0,,,1,,1,
Dendrite Spine Density,8.90115,8.90115,8.90115,0,8.90115,8.90115,1,1/10um,Dendrite,,,0,,,1,,1,
Dendrite Straightness,0.904145,0.904145,0.904145,0,0.904145,0.904145,1,,Dendrite,,,0,,,1,,1,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Volume,51.8397,51.8397,51.8397,0.0085198,51.8397,51.8397,1,um^3,Dendrite,,,0,,,1,,1,
Filament Area (sum),489.235,489.235,489.235,0,489.235,489.235,1,um^2,Filament,,,,,,,,1,
Filament BoundingBoxAA Length X,70.7445,70.7445,70.7445,0.01187,70.7445,70.7445,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Y,44.402,44.402,44.402,0,44.402,44.402,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Z,4.98839,4.98839,4.98839,0.000764616,4.98839,4.98839,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxOO Length A,4.40087,4.40087,4.40087,0,4.40087,4.40087,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length B,8.25472,8.25472,8.25472,0.000414065,8.25472,8.25472,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length C,82.0651,82.0651,82.0651,0.0135956,82.0651,82.0651,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament Dendrite Area (sum),240.137,240.137,240.137,0,240.137,240.137,1,um^2,Filament,,,,,,,,1,
Filament Dendrite Length (sum),89.876,89.876,89.876,0.011344,89.876,89.876,1,um,Filament,,,,,,,,1,
Filament Dendrite Volume (sum),51.8397,51.8397,51.8397,0.0085198,51.8397,51.8397,1,um^3,Filament,,,,,,,,1,
Filament Distance from Origin,130.616,130.616,130.616,0,130.616,130.616,1,um,Filament,,Filament Distance from Origin,,,,,,1,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Length (sum),197.391,197.391,197.391,0.000678973,197.391,197.391,1,um,Filament,,,,,,,,1,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament No. Dendrite Branches,0,1,0.978022,0.146612,1,89,91,,Filament,,,,0,,,,1,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Edges,1971,1971,1971,0,1971,1971,1,,Filament,,,,,,,,1,
Filament No. Sholl Intersections,0,1,0.975904,0.153348,1,81,83,,Filament,,,,,,,0,1,
Filament No. Spine Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament No. Spine Segments,80,80,80,0,80,80,1,,Filament,,,,,,,,1,
Filament No. Spine Terminal Pts,80,80,80,0,80,80,1,,Filament,,,,,,,,1,
Filament No. Unconnected Parts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Vertices,1972,1972,1972,0,1972,1972,1,,Filament,,,,,,,,1,
Filament Position X,102.207,102.207,102.207,0.0214013,102.207,102.207,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Y,80.5433,80.5433,80.5433,0,80.5433,80.5433,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Z,11.2645,11.2645,11.2645,0.000584583,11.2645,11.2645,1,um,Filament,,Filament Position,,,,,,1,
Filament Spine Area (sum),249.098,249.098,249.098,0.0391292,249.098,249.098,1,um^2,Filament,,,,,,,,1,
Filament Spine Length (sum),107.515,107.515,107.515,0,107.515,107.515,1,um,Filament,,,,,,,,1,
Filament Spine Volume (sum),43.4655,43.4655,43.4655,0.00483132,43.4655,43.4655,1,um^3,Filament,,,,,,,,1,
Filament Time,0,0,0,0,0,0,1,s,Filament,,,,,,,,1,
Filament Time Index,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament Volume (sum),95.3052,95.3052,95.3052,0.0149959,95.3052,95.3052,1,um^3,Filament,,,,,,,,1,
Pt Branching Angle Type=Spine Attachment,28.5319,90.6095,73.4135,14.3315,76.8893,3083.36,42,°,Point,,,0,,,,,1,Spine Attachment
Pt Diameter Type=Dendrite Beginning,0.819503,0.819503,0.819503,0.000141187,0.819503,0.819503,1,um,Point,,,0,,,,,1,Dendrite Beginning
Pt Diameter Type=Spine Attachment,0.517306,1.45638,0.898947,0.221271,0.883561,51.24,57,um,Point,,,0,,,,,1,Spine Attachment
Pt Diameter Type=Dendrite Terminal,1.01259,1.01259,1.01259,0.00018159,1.01259,1.01259,1,um,Point,,,0,,,,,1,Dendrite Terminal
Pt Diameter Type=Spine Terminal,0.23,1.07046,0.649552,0.144973,0.630276,51.9642,80,um,Point,,,0,,,,,1,Spine Terminal
Pt Distance Type=Dendrite Beginning,0,0,0,0,0,0,1,um,Point,,,0,,,,,1,Dendrite Beginning
Pt Distance Type=Spine Attachment,5.60131,89.1782,52.8548,22.5006,51.4731,3012.72,57,um,Point,,,0,,,,,1,Spine Attachment
Pt Distance Type=Dendrite Terminal,89.876,89.876,89.876,0.011344,89.876,89.876,1,um,Point,,,0,,,,,1,Dendrite Terminal
Pt Distance Type=Spine Terminal,8.75516,89.7906,55.6734,21.9417,56.0683,4453.87,80,um,Point,,,0,,,,,1,Spine Terminal
Pt Distance from Origin Type=Dendrite Beginning,174.158,174.158,174.158,0,174.158,174.158,1,um,Point,,Pt Distance from Origin,0,,,,,1,Dendrite Beginning
Pt Distance from Origin Type=Dendrite Terminal,93.683,93.683,93.683,0,93.683,93.683,1,um,Point,,Pt Distance from Origin,0,,,,,1,Dendrite Terminal
Pt Distance from Origin Type=Spine Attachment,94.3189,170.027,128.379,20.566,130.256,7317.59,57,um,Point,,Pt Distance from Origin,0,,,,,1,Spine Attachment
Pt Distance from Origin Type=Spine Terminal,94.398,172.556,127.118,20.0977,127.857,10169.5,80,um,Point,,Pt Distance from Origin,0,,,,,1,Spine Terminal
Pt Distance from Origin Type=Dendrite,106.496,132.022,119.259,12.763,132.022,238.518,2,um,Point,,Pt Distance from Origin,0,,,,,1,Dendrite
Pt Generation Type=Dendrite Beginning,0,0,0,0,0,0,1,,Point,,,0,,,,,1,Dendrite Beginning
Pt Generation Type=Dendrite Terminal,0,0,0,0,0,0,1,,Point,,,0,,,,,1,Dendrite Terminal
Pt Generation Type=Spine Attachment,0,0,0,0,0,0,57,,Point,,,0,,,,,1,Spine Attachment
Pt Generation Type=Spine Terminal,0,0,0,0,0,0,80,,Point,,,0,,,,,1,Spine Terminal
