
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type,
Dendrite Area,270.205,270.205,270.205,0,270.205,270.205,1,um^2,Dendrite,,,0,,,1,,1,,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Length,91.4912,91.4912,91.4912,0,91.4912,91.4912,1,um,Dendrite,,,0,,,1,,1,,
Dendrite Mean Diameter,0.925909,0.925909,0.925909,0,0.925909,0.925909,1,um,Dendrite,,,0,,,1,,1,,
Dendrite No. Spines,34,34,34,0,34,34,1,,Dendrite,,,0,,,1,,1,,
Dendrite Orientation Angle,-144.004,-144.004,-144.004,0,-144.004,-144.004,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Position X,46.0731,46.0731,46.0731,0.00578483,46.0731,46.0731,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Y,26.6538,26.6538,26.6538,0.00499983,26.6538,26.6538,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Z,9.55777,9.55777,9.55777,0,9.55777,9.55777,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Resistance,152.465,152.465,152.465,0,152.465,152.465,1,1/um,Dendrite,,,0,,,1,,1,,
Dendrite Spine Density,3.71621,3.71621,3.71621,0.000411709,3.71621,3.71621,1,1/10um,Dendrite,,,0,,,1,,1,,
Dendrite Straightness,0.826642,0.826642,0.826642,0,0.826642,0.826642,1,,Dendrite,,,0,,,1,,1,,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Volume,63.6756,63.6756,63.6756,0,63.6756,63.6756,1,um^3,Dendrite,,,0,,,1,,1,,
Filament Area (sum),426.86,426.86,426.86,0.0294875,426.86,426.86,1,um^2,Filament,,,,,,,,1,,
Filament BoundingBoxAA Length X,63.0968,63.0968,63.0968,0.00905506,63.0968,63.0968,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Y,45.2052,45.2052,45.2052,0,45.2052,45.2052,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Z,12.0143,12.0143,12.0143,0,12.0143,12.0143,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxOO Length A,7.54692,7.54692,7.54692,0,7.54692,7.54692,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length B,21.6006,21.6006,21.6006,0,21.6006,21.6006,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length C,75.9764,75.9764,75.9764,0.015452,75.9764,75.9764,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament Dendrite Area (sum),270.205,270.205,270.205,0,270.205,270.205,1,um^2,Filament,,,,,,,,1,,
Filament Dendrite Length (sum),91.4912,91.4912,91.4912,0,91.4912,91.4912,1,um,Filament,,,,,,,,1,,
Filament Dendrite Volume (sum),63.6756,63.6756,63.6756,0,63.6756,63.6756,1,um^3,Filament,,,,,,,,1,,
Filament Distance from Origin,57.4821,57.4821,57.4821,0.00186575,57.4821,57.4821,1,um,Filament,,Filament Distance from Origin,,,,,,1,,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Length (sum),163.927,163.927,163.927,0.0214274,163.927,163.927,1,um,Filament,,,,,,,,1,,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament No. Dendrite Branches,0,1,0.978495,0.145062,1,91,93,,Filament,,,,0.000,,,,1,,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Edges,995,995,995,0,995,995,1,,Filament,,,,,,,,1,,
Filament No. Sholl Intersections,0,3,1,0.279145,1,77,77,,Filament,,,,,,,0.000,1,,
Filament No. Spine Branch Pts,3,3,3,0,3,3,1,,Filament,,,,,,,,1,,
Filament No. Spine Segments,40,40,40,0,40,40,1,,Filament,,,,,,,,1,,
Filament No. Spine Terminal Pts,37,37,37,0,37,37,1,,Filament,,,,,,,,1,,
Filament No. Unconnected Parts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Vertices,996,996,996,0,996,996,1,,Filament,,,,,,,,1,,
Filament Position X,49.274,49.274,49.274,0.00882824,49.274,49.274,1,um,Filament,,Filament Position,,,,,,1,,
Filament Position Y,28.1712,28.1712,28.1712,0,28.1712,28.1712,1,um,Filament,,Filament Position,,,,,,1,,
Filament Position Z,9.09094,9.09094,9.09094,0.00158786,9.09094,9.09094,1,um,Filament,,Filament Position,,,,,,1,,
Filament Spine Area (sum),156.655,156.655,156.655,0.0271978,156.655,156.655,1,um^2,Filament,,,,,,,,1,,
Filament Spine Length (sum),72.4353,72.4353,72.4353,0.00817298,72.4353,72.4353,1,um,Filament,,,,,,,,1,,
Filament Spine Volume (sum),27.5402,27.5402,27.5402,0,27.5402,27.5402,1,um^3,Filament,,,,,,,,1,,
Filament Time,0,0,0,0,0,0,1,s,Filament,,,,,,,,1,,
Filament Time Index,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament Volume (sum),91.2157,91.2157,91.2157,0,91.2157,91.2157,1,um^3,Filament,,,,,,,,1,,
Pt Branching Angle Type=Spine Attachment,48.8951,89.5371,76.3061,10.8879,79.7946,2441.8,32,°,Point,,,0,,,,,1,Spine Attachment,
Pt Branching Angle Type=Spine Branch,19.8554,37.2101,27.6489,7.19444,25.8813,82.9468,3,°,Point,,,0,,,,,1,Spine Branch,
Pt Diameter Type=Dendrite Beginning,1.01719,1.01719,1.01719,0.000169925,1.01719,1.01719,1,um,Point,,,0,,,,,1,Dendrite Beginning,
Pt Diameter Type=Spine Attachment,0.588958,1.53486,1,0.191612,1.00289,33,33,um,Point,,,0,,,,,1,Spine Attachment,
Pt Diameter Type=Dendrite Terminal,0.790625,0.790625,0.790625,0,0.790625,0.790625,1,um,Point,,,0,,,,,1,Dendrite Terminal,
Pt Diameter Type=Spine Terminal,0.35,1.04008,0.720113,0.187037,0.754567,26.6442,37,um,Point,,,0,,,,,1,Spine Terminal,
Pt Diameter Type=Spine Branch,0.556733,0.697298,0.626828,0.0573861,0.626453,1.88048,3,um,Point,,,0,,,,,1,Spine Branch,
Pt Distance Type=Dendrite Beginning,0,0,0,0,0,0,1,um,Point,,,0,,,,,1,Dendrite Beginning,
Pt Distance Type=Spine Attachment,1.30236,89.4505,37.7415,23.3519,36.6327,1245.47,33,um,Point,,,0,,,,,1,Spine Attachment,
Pt Distance Type=Dendrite Terminal,91.4912,91.4912,91.4912,0,91.4912,91.4912,1,um,Point,,,0,,,,,1,Dendrite Terminal,
Pt Distance Type=Spine Terminal,2.93454,90.3441,38.6444,22.9485,38.1061,1429.84,37,um,Point,,,0,,,,,1,Spine Terminal,
Pt Distance Type=Spine Branch,3.41468,54.6535,31.86,21.2965,37.5118,95.58,3,um,Point,,,0,,,,,1,Spine Branch,
Pt Distance from Origin Type=Dendrite Beginning,88.1697,88.1697,88.1697,0,88.1697,88.1697,1,um,Point,,Pt Distance from Origin,0,,,,,1,Dendrite Beginning,
Pt Distance from Origin Type=Dendrite Terminal,18.6818,18.6818,18.6818,0,18.6818,18.6818,1,um,Point,,Pt Distance from Origin,0,,,,,1,Dendrite Terminal,
Pt Distance from Origin Type=Spine Attachment,19.5987,87.1276,61.1545,18.1396,61.7563,2018.1,33,um,Point,,Pt Distance from Origin,0,,,,,1,Spine Attachment,
Pt Distance from Origin Type=Spine Terminal,19.891,86.3184,61.9217,17.8828,63.4129,2291.1,37,um,Point,,Pt Distance from Origin,0,,,,,1,Spine Terminal,
Pt Distance from Origin Type=Spine Branch,51.134,86.4495,66.1877,14.8804,60.9795,198.563,3,um,Point,,Pt Distance from Origin,0,,,,,1,Spine Branch,
Pt Distance from Origin Type=Dendrite,52.7545,52.7545,52.7545,0.00999676,52.7545,52.7545,1,um,Point,,Pt Distance from Origin,0,,,,,1,Dendrite,
Pt Generation Type=Dendrite Beginning,0,0,0,0,0,0,1,,Point,,,0,,,,,1,Dendrite Beginning,
Pt Generation Type=Dendrite Terminal,0,0,0,0,0,0,1,,Point,,,0,,,,,1,Dendrite Terminal,
Pt Generation Type=Spine Attachment,0,0,0,0,0,0,33,,Point,,,0,,,,,1,Spine Attachment,
Pt Generation Type=Spine Terminal,0,0,0,0,0,0,37,,Point,,,0,,,,,1,Spine Terminal,
Pt Generation Type=Spine Branch,0,0,0,0,0,0,3,,Point,,,0,,,,,1,Spine Branch,
Pt Generation Type=Dendrite,0,0,0,0,0,0,1,,Point,,,0,,,,,1,Dendrite,
Pt Position X Type=Dendrite Beginning,70.4323,70.4323,70.4323,0,70.4323,70.4323,1,um,Point,,Pt Position,0,,,,,1,Dendrite Beginning,
Pt Position X Type=Dendrite Terminal,9.44803,9.44803,9.44803,0,9.44803,9.44803,1,um,Point,,Pt Position,0,,,,,1,Dendrite Terminal,
Pt Position X Type=Spine Attachment,11.1072,70.266,52.3311,16.7615,55.5933,1726.93,33,um,Point,,Pt Position,0,,,,,1,Spine Attachment,
Pt Position X Type=Spine Terminal,11.2204,71.8656,53.0427,16.4186,55.5506,1962.58,37,um,Point,,Pt Position,0,,,,,1,Spine Terminal,
Pt Position X Type=Spine Branch,44.1075,69.83,56.3357,10.5393,55.0694,169.007,3,um,Point,,Pt Position,0,,,,,1,Spine Branch,
Pt Position X Type=Dendrite,44.778,44.778,44.778,0.00625514,44.778,44.778,1,um,Point,,Pt Position,0,,,,,1,Dendrite,
Pt Position Y Type=Dendrite Beginning,52.4774,52.4774,52.4774,0.00155055,52.4774,52.4774,1,um,Point,,Pt Position,0,,,,,1,Dendrite Beginning,
Pt Position Y Type=Dendrite Terminal,8.17606,8.17606,8.17606,0.00109725,8.17606,8.17606,1,um,Point,,Pt Position,0,,,,,1,Dendrite Terminal,
Pt Position Y Type=Spine Attachment,9.12768,51.3396,29.4199,9.963,26.9802,970.858,33,um,Point,,Pt Position,0,,,,,1,Spine Attachment,
Pt Position Y Type=Spine Terminal,8.62778,51.5697,29.84,10.2253,26.7768,1104.08,37,um,Point,,Pt Position,0,,,,,1,Spine Terminal,
Pt Position Y Type=Spine Branch,24.6275,50.6182,33.3731,12.1945,24.8735,100.119,3,um,Point,,Pt Position,0,,,,,1,Spine Branch,
Pt Position Y Type=Dendrite,25.4769,25.4769,25.4769,0,25.4769,25.4769,1,um,Point,,Pt Position,0,,,,,1,Dendrite,
Pt Position Z Type=Dendrite Beginning,7.70166,7.70166,7.70166,0.00129187,7.70166,7.70166,1,um,Point,,Pt Position,0,,,,,1,Dendrite Beginning,
