
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type,
Dendrite Area,210.741,210.741,210.741,0.0421501,210.741,210.741,1,um^2,Dendrite,,,0,,,1,,1,,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Length,80.8259,80.8259,80.8259,0.00854993,80.8259,80.8259,1,um,Dendrite,,,0,,,1,,1,,
Dendrite Mean Diameter,0.825173,0.825173,0.825173,0,0.825173,0.825173,1,um,Dendrite,,,0,,,1,,1,,
Dendrite No. Spines,35,35,35,0,35,35,1,,Dendrite,,,0,,,1,,1,,
Dendrite Orientation Angle,0.410853,0.410853,0.410853,3.90356e-05,0.410853,0.410853,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Position X,73.6897,73.6897,73.6897,0,73.6897,73.6897,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Y,22.0981,22.0981,22.0981,0.00263543,22.0981,22.0981,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Z,11.9636,11.9636,11.9636,0.00228104,11.9636,11.9636,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Resistance,196.484,196.484,196.484,0.0429632,196.484,196.484,1,1/um,Dendrite,,,0,,,1,,1,,
Dendrite Spine Density,4.3303,4.3303,4.3303,0.00065065,4.3303,4.3303,1,1/10um,Dendrite,,,0,,,1,,1,,
Dendrite Straightness,0.88243,0.88243,0.88243,0,0.88243,0.88243,1,,Dendrite,,,0,,,1,,1,,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Volume,46.1888,46.1888,46.1888,0.00942852,46.1888,46.1888,1,um^3,Dendrite,,,0,,,1,,1,,
Filament Area (sum),410.258,410.258,410.258,0,410.258,410.258,1,um^2,Filament,,,,,,,,1,,
Filament BoundingBoxAA Length X,71.807,71.807,71.807,0.010063,71.807,71.807,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Y,13.1881,13.1881,13.1881,0.00184499,13.1881,13.1881,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Z,11.4441,11.4441,11.4441,0.00195527,11.4441,11.4441,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxOO Length A,8.61536,8.61536,8.61536,0,8.61536,8.61536,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length B,14.0808,14.0808,14.0808,0.00128462,14.0808,14.0808,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length C,71.6377,71.6377,71.6377,0.00780099,71.6377,71.6377,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament Dendrite Area (sum),210.741,210.741,210.741,0.0421501,210.741,210.741,1,um^2,Filament,,,,,,,,1,,
Filament Dendrite Length (sum),80.8259,80.8259,80.8259,0.00854993,80.8259,80.8259,1,um,Filament,,,,,,,,1,,
Filament Dendrite Volume (sum),46.1888,46.1888,46.1888,0.00942852,46.1888,46.1888,1,um^3,Filament,,,,,,,,1,,
Filament Distance from Origin,81.1604,81.1604,81.1604,0.0136394,81.1604,81.1604,1,um,Filament,,Filament Distance from Origin,,,,,,1,,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Length (sum),184.627,184.627,184.627,0.0159636,184.627,184.627,1,um,Filament,,,,,,,,1,,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
