Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type
Dendrite Area,239.377,239.377,239.377,0,239.377,239.377,1,um^2,Dendrite,,,0,,,1,,1,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Length,85.8042,85.8042,85.8042,0.0138983,85.8042,85.8042,1,um,Dendrite,,,0,,,1,,1,
Dendrite Mean Diameter,0.880753,0.880753,0.880753,0,0.880753,0.880753,1,um,Dendrite,,,0,,,1,,1,
Dendrite No. Spines,39,39,39,0,39,39,1,,Dendrite,,,0,,,1,,1,
Dendrite Orientation Angle,-133.19,-133.19,-133.19,0,-133.19,-133.19,1,°,Dendrite,,,0,,,1,,1,
Dendrite Position X,84.8747,84.8747,84.8747,0,84.8747,84.8747,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Y,65.3752,65.3752,65.3752,0,65.3752,65.3752,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Z,12.7996,12.7996,12.7996,0.000673134,12.7996,12.7996,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Resistance,159.042,159.042,159.042,0.0109231,159.042,159.042,1,1/um,Dendrite,,,0,,,1,,1,
Dendrite Spine Density,4.54523,4.54523,4.54523,0,4.54523,4.54523,1,1/10um,Dendrite,,,0,,,1,,1,
Dendrite Straightness,0.94914,0.94914,0.94914,9.10E-05,0.94914,0.94914,1,,Dendrite,,,0,,,1,,1,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Volume,54.8241,54.8241,54.8241,0.00788135,54.8241,54.8241,1,um^3,Dendrite,,,0,,,1,,1,
Filament Area (sum),403.757,403.757,403.757,0,403.757,403.757,1,um^2,Filament,,,,,,,,1,
Filament BoundingBoxAA Length X,57.8989,57.8989,57.8989,0.00615699,57.8989,57.8989,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Y,59.9216,59.9216,59.9216,0.0101497,59.9216,59.9216,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Z,7.2951,7.2951,7.2951,0,7.2951,7.2951,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxOO Length A,5.09533,5.09533,5.09533,0.000546107,5.09533,5.09533,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length B,8.16449,8.16449,8.16449,0.00182506,8.16449,8.16449,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length C,82.6622,82.6622,82.6622,0,82.6622,82.6622,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament Dendrite Area (sum),239.377,239.377,239.377,0,239.377,239.377,1,um^2,Filament,,,,,,,,1,
Filament Dendrite Length (sum),85.8042,85.8042,85.8042,0.0138983,85.8042,85.8042,1,um,Filament,,,,,,,,1,
Filament Dendrite Volume (sum),54.8241,54.8241,54.8241,0.00788135,54.8241,54.8241,1,um^3,Filament,,,,,,,,1,
Filament Distance from Origin,110.789,110.789,110.789,0.0162351,110.789,110.789,1,um,Filament,,Filament Distance from Origin,,,,,,1,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Length (sum),151.571,151.571,151.571,0,151.571,151.571,1,um,Filament,,,,,,,,1,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament No. Dendrite Branches,0,1,0.977012,0.149867,1,85,87,,Filament,,,,0,,,,1,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Edges,635,635,635,0,635,635,1,,Filament,,,,,,,,1,
Filament No. Sholl Intersections,0,1,0.975904,0.153348,1,81,83,,Filament,,,,,,,0,1,
Filament No. Spine Branch Pts,15,15,15,0,15,15,1,,Filament,,,,,,,,1,
Filament No. Spine Segments,70,70,70,0,70,70,1,,Filament,,,,,,,,1,
Filament No. Spine Terminal Pts,55,55,55,0,55,55,1,,Filament,,,,,,,,1,
Filament No. Unconnected Parts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Vertices,636,636,636,0,636,636,1,,Filament,,,,,,,,1,
Filament Position X,86.9984,86.9984,86.9984,0,86.9984,86.9984,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Y,67.4342,67.4342,67.4342,0,67.4342,67.4342,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Z,12.5775,12.5775,12.5775,0,12.5775,12.5775,1,um,Filament,,Filament Position,,,,,,1,
Filament Spine Area (sum),164.38,164.38,164.38,0,164.38,164.38,1,um^2,Filament,,,,,,,,1,
Filament Spine Length (sum),65.7672,65.7672,65.7672,0.0119897,65.7672,65.7672,1,um,Filament,,,,,,,,1,
Filament Spine Volume (sum),28.7689,28.7689,28.7689,0,28.7689,28.7689,1,um^3,Filament,,,,,,,,1,
Filament Time,0,0,0,0,0,0,1,s,Filament,,,,,,,,1,
Filament Time Index,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament Volume (sum),83.5929,83.5929,83.5929,0.0119135,83.5929,83.5929,1,um^3,Filament,,,,,,,,1,
Pt Branching Angle Type=Spine Attachment,32.7979,91.0074,72.8595,16.2862,76.4612,2331.5,32,°,Point,,,0,,,,,1,Spine Attachment
