
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type,
Dendrite Area,266.939,266.939,266.939,0,266.939,266.939,1,um^2,Dendrite,,,0,,,1,,1,,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Length,97.8725,97.8725,97.8725,0.0113632,97.8725,97.8725,1,um,Dendrite,,,0,,,1,,1,,
Dendrite Mean Diameter,0.855985,0.855985,0.855985,7.68923e-05,0.855985,0.855985,1,um,Dendrite,,,0,,,1,,1,,
Dendrite No. Spines,39,39,39,0,39,39,1,,Dendrite,,,0,,,1,,1,,
Dendrite Orientation Angle,-116.039,-116.039,-116.039,0.0186176,-116.039,-116.039,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Position X,70.0279,70.0279,70.0279,0.00864671,70.0279,70.0279,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Y,12.6302,12.6302,12.6302,0,12.6302,12.6302,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Z,11.2401,11.2401,11.2401,0.00160095,11.2401,11.2401,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Resistance,187.664,187.664,187.664,0,187.664,187.664,1,1/um,Dendrite,,,0,,,1,,1,,
Dendrite Spine Density,3.98478,3.98478,3.98478,0,3.98478,3.98478,1,1/10um,Dendrite,,,0,,,1,,1,,
Dendrite Straightness,0.816149,0.816149,0.816149,9.97168e-05,0.816149,0.816149,1,,Dendrite,,,0,,,1,,1,,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Volume,58.1728,58.1728,58.1728,0,58.1728,58.1728,1,um^3,Dendrite,,,0,,,1,,1,,
