
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type,
Dendrite Area,251.769,251.769,251.769,0,251.769,251.769,1,um^2,Dendrite,,,0,,,1,,1,,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Length,81.9218,81.9218,81.9218,0.0150017,81.9218,81.9218,1,um,Dendrite,,,0,,,1,,1,,
Dendrite Mean Diameter,0.962967,0.962967,0.962967,0,0.962967,0.962967,1,um,Dendrite,,,0,,,1,,1,,
Dendrite No. Spines,74,74,74,0,74,74,1,,Dendrite,,,0,,,1,,1,,
Dendrite Orientation Angle,48.6923,48.6923,48.6923,0,48.6923,48.6923,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Position X,87.8253,87.8253,87.8253,0.0153961,87.8253,87.8253,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Y,80.5159,80.5159,80.5159,0,80.5159,80.5159,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Z,5.34169,5.34169,5.34169,0,5.34169,5.34169,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Resistance,128.833,128.833,128.833,0,128.833,128.833,1,1/um,Dendrite,,,0,,,1,,1,,
Dendrite Spine Density,9.03301,9.03301,9.03301,0,9.03301,9.03301,1,1/10um,Dendrite,,,0,,,1,,1,,
Dendrite Straightness,0.940476,0.940476,0.940476,0,0.940476,0.940476,1,,Dendrite,,,0,,,1,,1,,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Volume,62.2219,62.2219,62.2219,0.00725638,62.2219,62.2219,1,um^3,Dendrite,,,0,,,1,,1,,
Filament Area (sum),498.094,498.094,498.094,0.0805512,498.094,498.094,1,um^2,Filament,,,,,,,,1,,
Filament BoundingBoxAA Length X,54.6891,54.6891,54.6891,0.00726265,54.6891,54.6891,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
