
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type,
Dendrite Area,187.566,187.566,187.566,0,187.566,187.566,1,um^2,Dendrite,,,0,,,1,,1,,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Length,68.2551,68.2551,68.2551,0,68.2551,68.2551,1,um,Dendrite,,,0,,,1,,1,,
Dendrite Mean Diameter,0.856708,0.856708,0.856708,0,0.856708,0.856708,1,um,Dendrite,,,0,,,1,,1,,
Dendrite No. Spines,37,37,37,0,37,37,1,,Dendrite,,,0,,,1,,1,,
Dendrite Orientation Angle,146.719,146.719,146.719,0,146.719,146.719,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Position X,69.9006,69.9006,69.9006,0,69.9006,69.9006,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Y,144.182,144.182,144.182,0,144.182,144.182,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Z,10.4168,10.4168,10.4168,0.00109666,10.4168,10.4168,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Resistance,136.409,136.409,136.409,0.0264093,136.409,136.409,1,1/um,Dendrite,,,0,,,1,,1,,
Dendrite Spine Density,5.42084,5.42084,5.42084,0.000794982,5.42084,5.42084,1,1/10um,Dendrite,,,0,,,1,,1,,
Dendrite Straightness,0.881453,0.881453,0.881453,8.84584e-05,0.881453,0.881453,1,,Dendrite,,,0,,,1,,1,,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Volume,41.0358,41.0358,41.0358,0.00731007,41.0358,41.0358,1,um^3,Dendrite,,,0,,,1,,1,,
Filament Area (sum),288.051,288.051,288.051,0,288.051,288.051,1,um^2,Filament,,,,,,,,1,,
Filament BoundingBoxAA Length X,52.6264,52.6264,52.6264,0,52.6264,52.6264,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Y,37.5328,37.5328,37.5328,0.00761681,37.5328,37.5328,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Z,8.60294,8.60294,8.60294,0.0014769,8.60294,8.60294,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxOO Length A,4.18705,4.18705,4.18705,0,4.18705,4.18705,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length B,13.7282,13.7282,13.7282,0.00134029,13.7282,13.7282,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length C,64.2488,64.2488,64.2488,0.00988947,64.2488,64.2488,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament Dendrite Area (sum),187.566,187.566,187.566,0,187.566,187.566,1,um^2,Filament,,,,,,,,1,,
Filament Dendrite Length (sum),68.2551,68.2551,68.2551,0,68.2551,68.2551,1,um,Filament,,,,,,,,1,,
Filament Dendrite Volume (sum),41.0358,41.0358,41.0358,0.00731007,41.0358,41.0358,1,um^3,Filament,,,,,,,,1,,
Filament Distance from Origin,160.633,160.633,160.633,0.0166728,160.633,160.633,1,um,Filament,,Filament Distance from Origin,,,,,,1,,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Length (sum),124.271,124.271,124.271,0.013129,124.271,124.271,1,um,Filament,,,,,,,,1,,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament No. Dendrite Branches,0,1,0.944444,0.229061,1,68,72,,Filament,,,,0.000,,,,1,,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Edges,1659,1659,1659,0,1659,1659,1,,Filament,,,,,,,,1,,
Filament No. Sholl Intersections,0,1,0.967742,0.176685,1,60,62,,Filament,,,,,,,0.000,1,,
Filament No. Spine Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament No. Spine Segments,37,37,37,0,37,37,1,,Filament,,,,,,,,1,,
Filament No. Spine Terminal Pts,37,37,37,0,37,37,1,,Filament,,,,,,,,1,,
Filament No. Unconnected Parts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Vertices,1660,1660,1660,0,1660,1660,1,,Filament,,,,,,,,1,,
Filament Position X,70.7715,70.7715,70.7715,0,70.7715,70.7715,1,um,Filament,,Filament Position,,,,,,1,,
Filament Position Y,143.829,143.829,143.829,0,143.829,143.829,1,um,Filament,,Filament Position,,,,,,1,,
Filament Position Z,10.3814,10.3814,10.3814,0,10.3814,10.3814,1,um,Filament,,Filament Position,,,,,,1,,
Filament Spine Area (sum),100.485,100.485,100.485,0,100.485,100.485,1,um^2,Filament,,,,,,,,1,,
Filament Spine Length (sum),56.0156,56.0156,56.0156,0.00119516,56.0156,56.0156,1,um,Filament,,,,,,,,1,,
Filament Spine Volume (sum),14.9315,14.9315,14.9315,0,14.9315,14.9315,1,um^3,Filament,,,,,,,,1,,
Filament Time,0,0,0,0,0,0,1,s,Filament,,,,,,,,1,,
Filament Time Index,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament Volume (sum),55.9673,55.9673,55.9673,0,55.9673,55.9673,1,um^3,Filament,,,,,,,,1,,
Pt Branching Angle Type=Spine Attachment,50.5324,90.4167,71.8403,11.6751,70.4088,1939.69,27,°,Point,,,0,,,,,1,Spine Attachment,
Pt Diameter Type=Dendrite Beginning,0.344038,0.344038,0.344038,3.253e-05,0.344038,0.344038,1,um,Point,,,0,,,,,1,Dendrite Beginning,
Pt Diameter Type=Spine Attachment,0.53483,1.49449,0.932047,0.203215,0.888692,28.8935,31,um,Point,,,0,,,,,1,Spine Attachment,
Pt Diameter Type=Dendrite Terminal,0.676131,0.676131,0.676131,0,0.676131,0.676131,1,um,Point,,,0,,,,,1,Dendrite Terminal,
Pt Diameter Type=Spine Terminal,0.256317,0.911524,0.533125,0.149836,0.536001,19.7256,37,um,Point,,,0,,,,,1,Spine Terminal,
Pt Distance Type=Dendrite Beginning,0,0,0,0,0,0,1,um,Point,,,0,,,,,1,Dendrite Beginning,
Pt Distance Type=Spine Attachment,0.125945,67.9515,37.7536,20.6432,37.0418,1170.36,31,um,Point,,,0,,,,,1,Spine Attachment,
Pt Distance Type=Dendrite Terminal,68.2551,68.2551,68.2551,0,68.2551,68.2551,1,um,Point,,,0,,,,,1,Dendrite Terminal,
Pt Distance Type=Spine Terminal,2.84076,70.8366,37.5714,22.2261,33.9957,1390.14,37,um,Point,,,0,,,,,1,Spine Terminal,
Pt Distance from Origin Type=Dendrite Beginning,162.619,162.619,162.619,0.0251235,162.619,162.619,1,um,Point,,Pt Distance from Origin,0,,,,,1,Dendrite Beginning,
Pt Distance from Origin Type=Dendrite Terminal,170.416,170.416,170.416,0.0310723,170.416,170.416,1,um,Point,,Pt Distance from Origin,0,,,,,1,Dendrite Terminal,
Pt Distance from Origin Type=Spine Attachment,155.448,170.356,162.252,4.44919,162.282,5029.81,31,um,Point,,Pt Distance from Origin,0,,,,,1,Spine Attachment,
Pt Distance from Origin Type=Spine Terminal,154.356,172.098,162.24,4.77522,161.234,6002.89,37,um,Point,,Pt Distance from Origin,0,,,,,1,Spine Terminal,
Pt Generation Type=Dendrite Beginning,0,0,0,0,0,0,1,,Point,,,0,,,,,1,Dendrite Beginning,
Pt Generation Type=Dendrite Terminal,0,0,0,0,0,0,1,,Point,,,0,,,,,1,Dendrite Terminal,
Pt Generation Type=Spine Attachment,0,0,0,0,0,0,31,,Point,,,0,,,,,1,Spine Attachment,
Pt Generation Type=Spine Terminal,0,0,0,0,0,0,37,,Point,,,0,,,,,1,Spine Terminal,
Pt Position X Type=Dendrite Beginning,96.9201,96.9201,96.9201,0.0119445,96.9201,96.9201,1,um,Point,,Pt Position,0,,,,,1,Dendrite Beginning,
Pt Position X Type=Dendrite Terminal,46.964,46.964,46.964,0.00834938,46.964,46.964,1,um,Point,,Pt Position,0,,,,,1,Dendrite Terminal,
Pt Position X Type=Spine Attachment,47.0713,96.805,67.2842,15.24,64.7415,2085.81,31,um,Point,,Pt Position,0,,,,,1,Spine Attachment,
Pt Position X Type=Spine Terminal,46.0128,98.107,68.8084,16.9853,68.2842,2545.91,37,um,Point,,Pt Position,0,,,,,1,Spine Terminal,
Pt Position Y Type=Dendrite Beginning,130.329,130.329,130.329,0,130.329,130.329,1,um,Point,,Pt Position,0,,,,,1,Dendrite Beginning,
Pt Position Y Type=Dendrite Terminal,163.12,163.12,163.12,0,163.12,163.12,1,um,Point,,Pt Position,0,,,,,1,Dendrite Terminal,
Pt Position Y Type=Spine Attachment,130.355,163.052,146.169,9.80739,141.233,4531.24,31,um,Point,,Pt Position,0,,,,,1,Spine Attachment,
Pt Position Y Type=Spine Terminal,127.693,164.601,145.184,10.9994,140.764,5371.8,37,um,Point,,Pt Position,0,,,,,1,Spine Terminal,
Pt Position Z Type=Dendrite Beginning,8.10945,8.10945,8.10945,0,8.10945,8.10945,1,um,Point,,Pt Position,0,,,,,1,Dendrite Beginning,
Pt Position Z Type=Dendrite Terminal,15.096,15.096,15.096,0.00213863,15.096,15.096,1,um,Point,,Pt Position,0,,,,,1,Dendrite Terminal,
Pt Position Z Type=Spine Attachment,8.09061,14.8207,10.9152,2.308,10.6986,338.371,31,um,Point,,Pt Position,0,,,,,1,Spine Attachment,
Pt Position Z Type=Spine Terminal,7.44585,15.2661,10.7951,2.41107,10.7005,399.419,37,um,Point,,Pt Position,0,,,,,1,Spine Terminal,
Pt Time Type=Dendrite Beginning,0,0,0,0,0,0,1,s,Point,,,0,,,,,1,Dendrite Beginning,
Pt Time Type=Dendrite Terminal,0,0,0,0,0,0,1,s,Point,,,0,,,,,1,Dendrite Terminal,
Pt Time Type=Spine Attachment,0,0,0,0,0,0,31,s,Point,,,0,,,,,1,Spine Attachment,
Pt Time Type=Spine Terminal,0,0,0,0,0,0,37,s,Point,,,0,,,,,1,Spine Terminal,
Pt Time Index Type=Dendrite Beginning,1,1,1,0,1,1,1,,Point,,,0,,,,,1,Dendrite Beginning,
Pt Time Index Type=Dendrite Terminal,1,1,1,0,1,1,1,,Point,,,0,,,,,1,Dendrite Terminal,
Pt Time Index Type=Spine Attachment,1,1,1,0,1,31,31,,Point,,,0,,,,,1,Spine Attachment,
Pt Time Index Type=Spine Terminal,1,1,1,0,1,37,37,,Point,,,0,,,,,1,Spine Terminal,
Spine Area,0.429586,7.81869,2.7158,1.72341,2.33614,100.485,37,um^2,Spine,,,0,,,1,,1,,
Spine Attachment Pt Branching Angle,50.5324,90.4167,71.8403,11.6751,70.4088,1939.69,27,°,Spine,,,0,,,1,,1,,
Spine Attachment Pt Diameter,0.53483,1.49449,0.894814,0.21854,0.885592,33.1081,37,um,Spine,,,0,,,1,,1,,
Spine Attachment Pt Distance,0.125945,67.9515,35.8766,22.4595,33.0659,1327.44,37,um,Spine,,,0,,,1,,1,,
Spine Attachment Pt Distance from Origin,155.448,170.356,162.252,4.44919,162.282,5029.81,31,um,Spine,,Spine Attachment Pt Distance from Origin,0,,,1,,1,,
Spine Attachment Pt Generation,0,0,0,0,0,0,31,,Spine,,,0,,,1,,1,,
Spine Attachment Pt Position X,47.0713,96.805,67.2842,15.24,64.7415,2085.81,31,um,Spine,,Spine Attachment Pt Position,0,,,1,,1,,
Spine Attachment Pt Position Y,130.355,163.052,146.169,9.80739,141.233,4531.24,31,um,Spine,,Spine Attachment Pt Position,0,,,1,,1,,
Spine Attachment Pt Position Z,8.09061,14.8207,10.9152,2.308,10.6986,338.371,31,um,Spine,,Spine Attachment Pt Position,0,,,1,,1,,
Spine Attachment Pt Time,0,0,0,0,0,0,31,s,Spine,,,0,,,1,,1,,
Spine Attachment Pt Time Index,1,1,1,0,1,31,31,,Spine,,,0,,,1,,1,,
Spine Branch Depth,0,0,0,0,0,0,37,,Spine,,,0,,,1,,1,,
Spine Branch Level,1,1,1,0,1,37,37,,Spine,,,0,,,1,,1,,
Spine Branchings,0,0,0,0,0,0,37,,Spine,,,0,,,1,,1,,
Spine Length,0.292213,3.72281,1.51393,0.868209,1.36134,56.0156,37,um,Spine,,,0,,,1,,1,,
Spine Max Diameter,0.69822,1.49449,0.98788,0.190131,0.990035,36.5516,37,um,Spine,,,0,,,1,,1,,
Spine Mean Diameter,0.352483,1.03294,0.666024,0.188565,0.645435,24.6429,37,um,Spine,,,0,,,1,,1,,
Spine Min Diameter,0.19,0.885592,0.430033,0.179795,0.449985,15.9112,37,um,Spine,,,0,,,1,,1,,
Spine Neck Length,0,2.71956,0.882562,0.826916,0.705047,32.6548,37,um,Spine,,,0,,,1,,1,,
Spine Neck Max Diameter,0,1.20113,0.665823,0.356899,0.747148,24.6355,37,um,Spine,,,0,,,1,,1,,
Spine Neck Mean Diameter,0,1.02544,0.497281,0.301724,0.452765,18.3994,37,um,Spine,,,0,,,1,,1,,
Spine Neck Min Diameter,0,0.927882,0.391922,0.282464,0.337695,14.5011,37,um,Spine,,,0,,,1,,1,,
Spine Neck Volume,0,0.946949,0.306726,0.275513,0.217964,11.3489,37,um^3,Spine,,,0,,,1,,1,,
Spine Orientation Angle,-163.918,179.353,-38.947,95.098,-75.6451,-1441.04,37,°,Spine,,,0,,,1,,1,,
Spine Part Length Ground,0,0.841693,0.253177,0.257549,0.170385,9.36756,37,um,Spine,,Spine Part Length,0,,,1,,1,,
Spine Part Length Head,0.24889,1.39077,0.638344,0.250416,0.618782,23.6187,37,um,Spine,,Spine Part Length,0,,,1,,1,,
Spine Part Length Neck,0,1.49034,0.646767,0.388601,0.588179,23.9304,37,um,Spine,,Spine Part Length,0,,,1,,1,,
Spine Part Max Diameter Ground,0.652148,1.49449,0.962936,0.206407,0.972182,35.6286,37,um,Spine,,Spine Part Max Diameter,0,,,1,,1,,
Spine Part Max Diameter Head,0.256317,0.989032,0.612698,0.179753,0.656701,22.6698,37,um,Spine,,Spine Part Max Diameter,0,,,1,,1,,
Spine Part Max Diameter Neck,0,1.20113,0.723267,0.283939,0.740993,26.7609,37,um,Spine,,Spine Part Max Diameter,0,,,1,,1,,
Spine Part Mean Diameter Ground,0.500227,1.23838,0.816835,0.20075,0.813081,30.2229,37,um,Spine,,Spine Part Mean Diameter,0,,,1,,1,,
Spine Part Mean Diameter Head,0.221186,0.950278,0.540225,0.186345,0.553586,19.9883,37,um,Spine,,Spine Part Mean Diameter,0,,,1,,1,,
Spine Part Mean Diameter Neck,0,1.08972,0.602716,0.271058,0.628054,22.3005,37,um,Spine,,Spine Part Mean Diameter,0,,,1,,1,,
Spine Part Min Diameter Ground,0.223959,1.2184,0.683424,0.235666,0.671943,25.2867,37,um,Spine,,Spine Part Min Diameter,0,,,1,,1,,
Spine Part Min Diameter Head,0.19,0.911524,0.472498,0.186124,0.475126,17.4824,37,um,Spine,,Spine Part Min Diameter,0,,,1,,1,,
Spine Part Min Diameter Neck,0,1.05804,0.50882,0.268617,0.531991,18.8264,37,um,Spine,,Spine Part Min Diameter,0,,,1,,1,,
Spine Part Volume Ground,0,0.464999,0.158404,0.140204,0.153659,5.86095,37,um^3,Spine,,Spine Part Volume,0,,,1,,1,,
Spine Part Volume Head,0.0115481,0.473191,0.140634,0.113418,0.111025,5.20345,37,um^3,Spine,,Spine Part Volume,0,,,1,,1,,
Spine Part Volume Neck,0,0.615816,0.193042,0.170372,0.137268,7.14255,37,um^3,Spine,,Spine Part Volume,0,,,1,,1,,
Spine Position X,46.7364,97.1384,68.7859,16.8257,68.4305,2545.08,37,um,Spine,,Spine Position,0,,,1,,1,,
Spine Position Y,128.875,163.974,145.288,10.7959,140.719,5375.66,37,um,Spine,,Spine Position,0,,,1,,1,,
Spine Position Z,7.64425,14.8216,10.7003,2.3898,10.6832,395.913,37,um,Spine,,Spine Position,0,,,1,,1,,
Spine Resistance,1.07677,45.9338,11.3475,12.2711,6.60371,419.857,37,1/um,Spine,,,0,,,1,,1,,
Spine Straightness,0.646106,0.997208,0.865068,0.0810473,0.885287,32.0075,37,,Spine,,,0,,,1,,1,,
Spine Terminal Pt Diameter,0.256317,0.911524,0.533125,0.149836,0.536001,19.7256,37,um,Spine,,,0,,,1,,1,,
Spine Terminal Pt Distance,2.84076,70.8366,37.5714,22.2261,33.9957,1390.14,37,um,Spine,,,0,,,1,,1,,
