Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type
Dendrite Area,303.862,303.862,303.862,0,303.862,303.862,1,um^2,Dendrite,,,0,,,1,,1,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Length,74.2991,74.2991,74.2991,0,74.2991,74.2991,1,um,Dendrite,,,0,,,1,,1,
Dendrite Mean Diameter,1.29042,1.29042,1.29042,0.000101295,1.29042,1.29042,1,um,Dendrite,,,0,,,1,,1,
Dendrite No. Spines,35,35,35,0,35,35,1,,Dendrite,,,0,,,1,,1,
Dendrite Orientation Angle,131.505,131.505,131.505,0,131.505,131.505,1,°,Dendrite,,,0,,,1,,1,
Dendrite Position X,71.7003,71.7003,71.7003,0.00583772,71.7003,71.7003,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Y,123.81,123.81,123.81,0.0139305,123.81,123.81,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Z,9.96974,9.96974,9.96974,0.0019004,9.96974,9.96974,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Resistance,68.7814,68.7814,68.7814,0,68.7814,68.7814,1,1/um,Dendrite,,,0,,,1,,1,
Dendrite Spine Density,4.71069,4.71069,4.71069,0.000862626,4.71069,4.71069,1,1/10um,Dendrite,,,0,,,1,,1,
Dendrite Straightness,0.965551,0.965551,0.965551,6.62E-05,0.965551,0.965551,1,,Dendrite,,,0,,,1,,1,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Volume,103.181,103.181,103.181,0,103.181,103.181,1,um^3,Dendrite,,,0,,,1,,1,
Filament Area (sum),588.405,588.405,588.405,0.0943488,588.405,588.405,1,um^2,Filament,,,,,,,,1,
Filament BoundingBoxAA Length X,48.3825,48.3825,48.3825,0,48.3825,48.3825,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Y,54.5546,54.5546,54.5546,0.010329,54.5546,54.5546,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Z,6.82157,6.82157,6.82157,0,6.82157,6.82157,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxOO Length A,3.3858,3.3858,3.3858,0.00061197,3.3858,3.3858,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length B,9.37134,9.37134,9.37134,0.00135932,9.37134,9.37134,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length C,72.6644,72.6644,72.6644,0,72.6644,72.6644,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament Dendrite Area (sum),303.862,303.862,303.862,0,303.862,303.862,1,um^2,Filament,,,,,,,,1,
Filament Dendrite Length (sum),74.2991,74.2991,74.2991,0,74.2991,74.2991,1,um,Filament,,,,,,,,1,
Filament Dendrite Volume (sum),103.181,103.181,103.181,0,103.181,103.181,1,um^3,Filament,,,,,,,,1,
Filament Distance from Origin,142.033,142.033,142.033,0.0217787,142.033,142.033,1,um,Filament,,Filament Distance from Origin,,,,,,1,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Length (sum),139.842,139.842,139.842,0,139.842,139.842,1,um,Filament,,,,,,,,1,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament No. Dendrite Branches,0,1,0.973684,0.160073,1,74,76,,Filament,,,,0,,,,1,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Edges,1211,1211,1211,0,1211,1211,1,,Filament,,,,,,,,1,
Filament No. Sholl Intersections,0,1,0.972603,0.163238,1,71,73,,Filament,,,,,,,0,1,
Filament No. Spine Branch Pts,25,25,25,0,25,25,1,,Filament,,,,,,,,1,
Filament No. Spine Segments,85,85,85,0,85,85,1,,Filament,,,,,,,,1,
Filament No. Spine Terminal Pts,60,60,60,0,60,60,1,,Filament,,,,,,,,1,
Filament No. Unconnected Parts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Vertices,1212,1212,1212,0,1212,1212,1,,Filament,,,,,,,,1,
Filament Position X,75.267,75.267,75.267,0.0143684,75.267,75.267,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Y,120.075,120.075,120.075,0,120.075,120.075,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Z,9.49971,9.49971,9.49971,0.00166626,9.49971,9.49971,1,um,Filament,,Filament Position,,,,,,1,
Filament Spine Area (sum),284.543,284.543,284.543,0.0533822,284.543,284.543,1,um^2,Filament,,,,,,,,1,
Filament Spine Length (sum),65.5432,65.5432,65.5432,0.0153532,65.5432,65.5432,1,um,Filament,,,,,,,,1,
Filament Spine Volume (sum),67.5885,67.5885,67.5885,0,67.5885,67.5885,1,um^3,Filament,,,,,,,,1,
Filament Time,0,0,0,0,0,0,1,s,Filament,,,,,,,,1,
Filament Time Index,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament Volume (sum),170.769,170.769,170.769,0,170.769,170.769,1,um^3,Filament,,,,,,,,1,
Pt Branching Angle Type=Spine Attachment,43.8132,91.2386,70.4023,14.6472,71.2917,2464.08,35,°,Point,,,0,,,,,1,Spine Attachment
Pt Branching Angle Type=Spine Branch,14.1879,89.4742,54.9317,24.4245,53.7803,1373.29,25,°,Point,,,0,,,,,1,Spine Branch
Pt Diameter Type=Dendrite Beginning,1.15201,1.15201,1.15201,0.000240899,1.15201,1.15201,1,um,Point,,,0,,,,,1,Dendrite Beginning
Pt Diameter Type=Spine Attachment,0.893358,2.03054,1.43583,0.310231,1.42548,50.2541,35,um,Point,,,0,,,,,1,Spine Attachment
