
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type,
Dendrite Area,382.119,382.119,382.119,0,382.119,382.119,1,um^2,Dendrite,,,0,,,1,,1,,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Length,108.944,108.944,108.944,0.0139125,108.944,108.944,1,um,Dendrite,,,0,,,1,,1,,
Dendrite Mean Diameter,1.10198,1.10198,1.10198,0,1.10198,1.10198,1,um,Dendrite,,,0,,,1,,1,,
Dendrite No. Spines,97,97,97,0,97,97,1,,Dendrite,,,0,,,1,,1,,
Dendrite Orientation Angle,58.0939,58.0939,58.0939,0.00640286,58.0939,58.0939,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Position X,73.4069,73.4069,73.4069,0,73.4069,73.4069,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Y,33.262,33.262,33.262,0,33.262,33.262,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Z,7.75639,7.75639,7.75639,0.00114805,7.75639,7.75639,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Resistance,140.968,140.968,140.968,0,140.968,140.968,1,1/um,Dendrite,,,0,,,1,,1,,
Dendrite Spine Density,8.90368,8.90368,8.90368,0.00174228,8.90368,8.90368,1,1/10um,Dendrite,,,0,,,1,,1,,
Dendrite Straightness,0.484076,0.484076,0.484076,0,0.484076,0.484076,1,,Dendrite,,,0,,,1,,1,,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Volume,109.298,109.298,109.298,0,109.298,109.298,1,um^3,Dendrite,,,0,,,1,,1,,
Filament Area (sum),1082.32,1082.32,1082.32,0,1082.32,1082.32,1,um^2,Filament,,,,,,,,1,,
Filament BoundingBoxAA Length X,68.9944,68.9944,68.9944,0,68.9944,68.9944,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Y,54.0972,54.0972,54.0972,0,54.0972,54.0972,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Z,15.8375,15.8375,15.8375,0.00136681,15.8375,15.8375,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxOO Length A,11.4859,11.4859,11.4859,0,11.4859,11.4859,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length B,52.066,52.066,52.066,0.00350638,52.066,52.066,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length C,65.3118,65.3118,65.3118,0,65.3118,65.3118,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament Dendrite Area (sum),382.119,382.119,382.119,0,382.119,382.119,1,um^2,Filament,,,,,,,,1,,
Filament Dendrite Length (sum),108.944,108.944,108.944,0.0139125,108.944,108.944,1,um,Filament,,,,,,,,1,,
Filament Dendrite Volume (sum),109.298,109.298,109.298,0,109.298,109.298,1,um^3,Filament,,,,,,,,1,,
Filament Distance from Origin,83.194,83.194,83.194,0.0109785,83.194,83.194,1,um,Filament,,Filament Distance from Origin,,,,,,1,,
