Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type
Dendrite Area,379.087,379.087,379.087,0,379.087,379.087,1,um^2,Dendrite,,,0,,,1,,1,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,
Dendrite Length,73.7751,73.7751,73.7751,0.0099855,73.7751,73.7751,1,um,Dendrite,,,0,,,1,,1,
Dendrite Mean Diameter,1.59993,1.59993,1.59993,0,1.59993,1.59993,1,um,Dendrite,,,0,,,1,,1,
Dendrite No. Spines,44,44,44,0,44,44,1,,Dendrite,,,0,,,1,,1,
Dendrite Orientation Angle,140.533,140.533,140.533,0.0291664,140.533,140.533,1,°,Dendrite,,,0,,,1,,1,
Dendrite Position X,71.7987,71.7987,71.7987,0,71.7987,71.7987,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Y,86.6325,86.6325,86.6325,0.0149635,86.6325,86.6325,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Position Z,9.51906,9.51906,9.51906,0.00139002,9.51906,9.51906,1,um,Dendrite,,Dendrite Position,0,,,1,,1,
Dendrite Resistance,39.5707,39.5707,39.5707,0.00596703,39.5707,39.5707,1,1/um,Dendrite,,,0,,,1,,1,
Dendrite Spine Density,5.96407,5.96407,5.96407,0.000756951,5.96407,5.96407,1,1/10um,Dendrite,,,0,,,1,,1,
Dendrite Straightness,0.871559,0.871559,0.871559,0,0.871559,0.871559,1,,Dendrite,,,0,,,1,,1,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,
Dendrite Volume,151.42,151.42,151.42,0.0159286,151.42,151.42,1,um^3,Dendrite,,,0,,,1,,1,
Filament Area (sum),662.009,662.009,662.009,0.0933138,662.009,662.009,1,um^2,Filament,,,,,,,,1,
Filament BoundingBoxAA Length X,53.807,53.807,53.807,0,53.807,53.807,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Y,46.1866,46.1866,46.1866,0,46.1866,46.1866,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxAA Length Z,6.38966,6.38966,6.38966,0,6.38966,6.38966,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,
Filament BoundingBoxOO Length A,4.6627,4.6627,4.6627,0,4.6627,4.6627,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length B,13.1421,13.1421,13.1421,0.00210704,13.1421,13.1421,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament BoundingBoxOO Length C,68.2199,68.2199,68.2199,0.0153995,68.2199,68.2199,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,
Filament Dendrite Area (sum),379.087,379.087,379.087,0,379.087,379.087,1,um^2,Filament,,,,,,,,1,
Filament Dendrite Length (sum),73.7751,73.7751,73.7751,0.0099855,73.7751,73.7751,1,um,Filament,,,,,,,,1,
Filament Dendrite Volume (sum),151.42,151.42,151.42,0.0159286,151.42,151.42,1,um^3,Filament,,,,,,,,1,
Filament Distance from Origin,113.505,113.505,113.505,0,113.505,113.505,1,um,Filament,,Filament Distance from Origin,,,,,,1,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament Length (sum),167.045,167.045,167.045,0.0114866,167.045,167.045,1,um,Filament,,,,,,,,1,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,
Filament No. Dendrite Branches,0,1,0.935897,0.244936,1,73,78,,Filament,,,,0,,,,1,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Edges,1169,1169,1169,0,1169,1169,1,,Filament,,,,,,,,1,
Filament No. Sholl Intersections,0,1,0.969697,0.17142,1,64,66,,Filament,,,,,,,0,1,
Filament No. Spine Branch Pts,18,18,18,0,18,18,1,,Filament,,,,,,,,1,
Filament No. Spine Segments,82,82,82,0,82,82,1,,Filament,,,,,,,,1,
Filament No. Spine Terminal Pts,64,64,64,0,64,64,1,,Filament,,,,,,,,1,
Filament No. Unconnected Parts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament No. Vertices,1170,1170,1170,0,1170,1170,1,,Filament,,,,,,,,1,
Filament Position X,69.7528,69.7528,69.7528,0,69.7528,69.7528,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Y,89.0368,89.0368,89.0368,0.0137621,89.0368,89.0368,1,um,Filament,,Filament Position,,,,,,1,
Filament Position Z,9.51254,9.51254,9.51254,0,9.51254,9.51254,1,um,Filament,,Filament Position,,,,,,1,
Filament Spine Area (sum),282.922,282.922,282.922,0,282.922,282.922,1,um^2,Filament,,,,,,,,1,
Filament Spine Length (sum),93.2697,93.2697,93.2697,0.0212551,93.2697,93.2697,1,um,Filament,,,,,,,,1,
Filament Spine Volume (sum),61.477,61.477,61.477,0.0080572,61.477,61.477,1,um^3,Filament,,,,,,,,1,
Filament Time,0,0,0,0,0,0,1,s,Filament,,,,,,,,1,
Filament Time Index,1,1,1,0,1,1,1,,Filament,,,,,,,,1,
Filament Volume (sum),212.897,212.897,212.897,0.0400339,212.897,212.897,1,um^3,Filament,,,,,,,,1,
Pt Branching Angle Type=Spine Attachment,28.767,91.4345,69.3654,17.9785,74.1881,2011.6,29,°,Point,,,0,,,,,1,Spine Attachment
Pt Branching Angle Type=Spine Branch,22.9181,89.8021,59.4685,21.2373,62.0911,951.495,16,°,Point,,,0,,,,,1,Spine Branch
