
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type,
Dendrite Area,196.632,196.632,196.632,0.0346372,196.632,196.632,1,um^2,Dendrite,,,0,,,1,,1,,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Length,68.1049,68.1049,68.1049,0,68.1049,68.1049,1,um,Dendrite,,,0,,,1,,1,,
Dendrite Mean Diameter,0.912978,0.912978,0.912978,0.00015327,0.912978,0.912978,1,um,Dendrite,,,0,,,1,,1,,
Dendrite No. Spines,17,17,17,0,17,17,1,,Dendrite,,,0,,,1,,1,,
Dendrite Orientation Angle,-146.961,-146.961,-146.961,0,-146.961,-146.961,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Position X,55.9619,55.9619,55.9619,0,55.9619,55.9619,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Y,61.2929,61.2929,61.2929,0,61.2929,61.2929,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Z,15.9296,15.9296,15.9296,0.00114082,15.9296,15.9296,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Resistance,118.063,118.063,118.063,0,118.063,118.063,1,1/um,Dendrite,,,0,,,1,,1,,
Dendrite Spine Density,2.49615,2.49615,2.49615,0.000442904,2.49615,2.49615,1,1/10um,Dendrite,,,0,,,1,,1,,
Dendrite Straightness,0.84018,0.84018,0.84018,0.000143786,0.84018,0.84018,1,,Dendrite,,,0,,,1,,1,,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
