
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type,
Dendrite Area,213.372,213.372,213.372,0.0393779,213.372,213.372,1,um^2,Dendrite,,,0,,,1,,1,,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Length,67.6417,67.6417,67.6417,0.00350355,67.6417,67.6417,1,um,Dendrite,,,0,,,1,,1,,
Dendrite Mean Diameter,0.988705,0.988705,0.988705,0,0.988705,0.988705,1,um,Dendrite,,,0,,,1,,1,,
Dendrite No. Spines,78,78,78,0,78,78,1,,Dendrite,,,0,,,1,,1,,
Dendrite Orientation Angle,145.764,145.764,145.764,0.0123006,145.764,145.764,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Position X,27.7266,27.7266,27.7266,0.00204261,27.7266,27.7266,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Y,110.609,110.609,110.609,0.0122034,110.609,110.609,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Z,27.8258,27.8258,27.8258,0.0041637,27.8258,27.8258,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Resistance,104.331,104.331,104.331,0.00680504,104.331,104.331,1,1/um,Dendrite,,,0,,,1,,1,,
Dendrite Spine Density,11.5314,11.5314,11.5314,0,11.5314,11.5314,1,1/10um,Dendrite,,,0,,,1,,1,,
Dendrite Straightness,0.931578,0.931578,0.931578,0,0.931578,0.931578,1,,Dendrite,,,0,,,1,,1,,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Volume,54.8784,54.8784,54.8784,0.00866161,54.8784,54.8784,1,um^3,Dendrite,,,0,,,1,,1,,
Filament Area (sum),457.868,457.868,457.868,0.0307558,457.868,457.868,1,um^2,Filament,,,,,,,,1,,
Filament BoundingBoxAA Length X,52.2166,52.2166,52.2166,0.0055709,52.2166,52.2166,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Y,36.0649,36.0649,36.0649,0.00768358,36.0649,36.0649,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Z,12.9949,12.9949,12.9949,0,12.9949,12.9949,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxOO Length A,4.48736,4.48736,4.48736,0.000737646,4.48736,4.48736,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length B,9.27942,9.27942,9.27942,0,9.27942,9.27942,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament BoundingBoxOO Length C,63.8581,63.8581,63.8581,0,63.8581,63.8581,1,um,Filament,,Filament BoundingBoxOO Length,,,,,,1,,
Filament Dendrite Area (sum),213.372,213.372,213.372,0.0393779,213.372,213.372,1,um^2,Filament,,,,,,,,1,,
Filament Dendrite Length (sum),67.6417,67.6417,67.6417,0.00350355,67.6417,67.6417,1,um,Filament,,,,,,,,1,,
Filament Dendrite Volume (sum),54.8784,54.8784,54.8784,0.00866161,54.8784,54.8784,1,um^3,Filament,,,,,,,,1,,
Filament Distance from Origin,114.818,114.818,114.818,0.0109378,114.818,114.818,1,um,Filament,,Filament Distance from Origin,,,,,,1,,
Filament Full Branch Depth,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Full Branch Level,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament Generation,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament Length (sum),167.123,167.123,167.123,0,167.123,167.123,1,um,Filament,,,,,,,,1,,
Filament No. Dendrite Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament No. Dendrite Branches,0,1,0.971014,0.167766,1,67,69,,Filament,,,,0.000,,,,1,,
Filament No. Dendrite Segments,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Dendrite Terminal Pts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Edges,1522,1522,1522,0,1522,1522,1,,Filament,,,,,,,,1,,
Filament No. Sholl Intersections,0,1,0.969231,0.172692,1,63,65,,Filament,,,,,,,0.000,1,,
Filament No. Spine Branch Pts,0,0,0,0,0,0,1,,Filament,,,,,,,,1,,
Filament No. Spine Segments,78,78,78,0,78,78,1,,Filament,,,,,,,,1,,
Filament No. Spine Terminal Pts,78,78,78,0,78,78,1,,Filament,,,,,,,,1,,
Filament No. Unconnected Parts,1,1,1,0,1,1,1,,Filament,,,,,,,,1,,
Filament No. Vertices,1523,1523,1523,0,1523,1523,1,,Filament,,,,,,,,1,,
Filament Position X,33.3667,33.3667,33.3667,0.00101565,33.3667,33.3667,1,um,Filament,,Filament Position,,,,,,1,,
Filament Position Y,106.544,106.544,106.544,0.0120528,106.544,106.544,1,um,Filament,,Filament Position,,,,,,1,,
Filament Position Z,26.7976,26.7976,26.7976,0,26.7976,26.7976,1,um,Filament,,Filament Position,,,,,,1,,
Filament Spine Area (sum),244.496,244.496,244.496,0.0411773,244.496,244.496,1,um^2,Filament,,,,,,,,1,,
Filament Spine Length (sum),99.4814,99.4814,99.4814,0,99.4814,99.4814,1,um,Filament,,,,,,,,1,,
Filament Spine Volume (sum),46.9504,46.9504,46.9504,0,46.9504,46.9504,1,um^3,Filament,,,,,,,,1,,
