
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Sum,Count,Unit,Category,Channel,Collection,Depth,Distance,Image,Level,Radius,Time,Type,
Dendrite Area,299.919,299.919,299.919,0,299.919,299.919,1,um^2,Dendrite,,,0,,,1,,1,,
Dendrite Branch Depth,0,0,0,0,0,0,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branch Level,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Branching Angle B,0,0,0,0,0,0,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Length,95.6482,95.6482,95.6482,0,95.6482,95.6482,1,um,Dendrite,,,0,,,1,,1,,
Dendrite Mean Diameter,0.984161,0.984161,0.984161,0.000109917,0.984161,0.984161,1,um,Dendrite,,,0,,,1,,1,,
Dendrite No. Spines,29,29,29,0,29,29,1,,Dendrite,,,0,,,1,,1,,
Dendrite Orientation Angle,-45.2231,-45.2231,-45.2231,0.00569134,-45.2231,-45.2231,1,°,Dendrite,,,0,,,1,,1,,
Dendrite Position X,114.453,114.453,114.453,0,114.453,114.453,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Y,125.351,125.351,125.351,0.0145214,125.351,125.351,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Position Z,6.66408,6.66408,6.66408,0.00116118,6.66408,6.66408,1,um,Dendrite,,Dendrite Position,0,,,1,,1,,
Dendrite Resistance,152.54,152.54,152.54,0.0271917,152.54,152.54,1,1/um,Dendrite,,,0,,,1,,1,,
Dendrite Spine Density,3.03195,3.03195,3.03195,0.000628883,3.03195,3.03195,1,1/10um,Dendrite,,,0,,,1,,1,,
Dendrite Straightness,0.959107,0.959107,0.959107,0,0.959107,0.959107,1,,Dendrite,,,0,,,1,,1,,
Dendrite Time,0,0,0,0,0,0,1,s,Dendrite,,,0,,,1,,1,,
Dendrite Time Index,1,1,1,0,1,1,1,,Dendrite,,,0,,,1,,1,,
Dendrite Volume,77.3089,77.3089,77.3089,0,77.3089,77.3089,1,um^3,Dendrite,,,0,,,1,,1,,
Filament Area (sum),361.037,361.037,361.037,0.0502906,361.037,361.037,1,um^2,Filament,,,,,,,,1,,
Filament BoundingBoxAA Length X,66.5364,66.5364,66.5364,0.0151951,66.5364,66.5364,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
Filament BoundingBoxAA Length Y,66.0684,66.0684,66.0684,0,66.0684,66.0684,1,um,Filament,,Filament BoundingBoxAA Length,,,,,,1,,
